,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),HD,"157,432","156,847","161,572","165,623","171,637","176,488"
Dividend,HD,7.47,8.37,8.98,9.47,9.65,9.80
Dividend Yield (in %),HD,2.61 %,2.92 %,3.13 %,3.31 %,3.37 %,3.42 %
EPS,HD,16.66,15.83,16.81,17.60,18.69,19.81
P/E Ratio,HD,17.61,18.54,17.46,16.67,15.70,14.81
EBIT(In $M),HD,"24,197","22,741","23,632","24,283","25,105","25,913"
EBITDA(In $M),HD,"26,929","25,543","26,289","27,231","28,205","29,075"
Net Profit(In $M),HD,"17,083","15,877","16,542","16,997","17,585","18,207"
Net Profit Adjusted(In $M),HD,"17,089","15,839","16,489","16,723","17,849","18,680"
Pre-Tax Profit(In $M),HD,"22,616","21,022","21,902","22,523","23,302","24,126"
Net Profit (Adjusted)(In $M),HD,"22,605","20,623","21,627","22,710",-,-
EPS (Non-GAAP) ex. SOE(In $),HD,16.66,15.83,16.81,17.60,18.69,19.81
EPS (GAAP)(In $),HD,16.67,15.66,16.60,17.33,18.49,19.53
Gross Income(In $M),HD,"52,792","52,488","54,034","55,327","57,675","59,364"
Cash Flow from Investing(In $M),HD,"-2,963","-3,156","-3,200","-3,419","-3,518","-3,609"
Cash Flow from Operations(In $M),HD,"19,030","20,555","20,412","21,247","20,619","21,095"
Cash Flow from Financing(In $M),HD,"-12,860","-16,293","-17,195","-17,590","-18,291","-18,556"
Cash Flow per Share(In $),HD,18.62,18.91,19.16,20.92,-,-
Free Cash Flow(In $M),HD,"14,766","16,963","16,813","17,305","17,664","17,944"
Free Cash Flow per Share(In $),HD,14.62,16.77,17.27,17.96,18.49,19.11
Book Value per Share(In $),HD,0.13,1.58,0.77,0.51,-,-
Net Debt(In $M),HD,"40,241","42,092","42,489","44,421",-,-
Research & Development Exp.(In $M),HD,-,-,-,-,-,-
Capital Expenditure(In $M),HD,"2,993","3,153","3,200","3,325","3,501","3,599"
"Selling, General & Admin. Exp.(In $M)",HD,"26,211","27,430","27,972","28,705","29,791","30,565"
Shareholder’s Equity(In $M),HD,183,"1,132",303,-479,492,611
Total Assets(In $M),HD,"77,337","76,619","77,155","80,952","78,599","79,839"
