,ticker,2023,2024,2025,2026
Revenue(In $M),SWK,"16,262","16,834","17,710","18,551"
Dividend,SWK,3.23,3.30,3.31,3.34
Dividend Yield (in %),SWK,4.02 %,4.10 %,4.12 %,4.16 %
EPS,SWK,0.93,5.06,7.15,7.49
P/E Ratio,SWK,93.11,17.04,12.06,11.50
EBIT(In $M),SWK,744,"1,460","1,832","1,939"
EBITDA(In $M),SWK,"1,111","1,890","2,302","2,356"
Net Profit(In $M),SWK,143,816,"1,142","1,137"
Net Profit Adjusted(In $M),SWK,143,816,"1,112","1,137"
Pre-Tax Profit(In $M),SWK,63,916,"1,305","1,333"
Net Profit (Adjusted)(In $M),SWK,-14,861,"1,213","1,333"
EPS (Non-GAAP) ex. SOE(In $),SWK,0.95,5.06,7.15,7.49
EPS (GAAP)(In $),SWK,-0.01,4.86,7.10,6.86
Gross Income(In $M),SWK,"3,934","4,998","5,658","6,064"
Cash Flow from Investing(In $M),SWK,-553,-548,-612,-618
Cash Flow from Operations(In $M),SWK,"1,310","1,480","1,392","1,557"
Cash Flow from Financing(In $M),SWK,-678,-607,-618,-778
Cash Flow per Share(In $),SWK,7.75,9.74,10.75,8.60
Free Cash Flow(In $M),SWK,759,"1,032","1,049","1,003"
Free Cash Flow per Share(In $),SWK,4.42,7.10,11.03,-
Book Value per Share(In $),SWK,61.81,63.52,68.88,59.79
Net Debt(In $M),SWK,"6,510","5,897","5,167","5,662"
Research & Development Exp.(In $M),SWK,-,-,-,-
Capital Expenditure(In $M),SWK,531,532,548,554
"Selling, General & Admin. Exp.(In $M)",SWK,"3,183","3,485","3,953","4,132"
Shareholder’s Equity(In $M),SWK,"9,285","9,557","10,229","10,123"
Total Assets(In $M),SWK,"24,204","24,293","24,580","25,153"
