,2022,2021,2019,2018,ticker
Current ratio,0.973,1.324,1.012,1.142,SWK
Quick ratio,0.194,0.635,0.398,0.474,SWK
Cash ratio,0.016,0.303,0.068,0.072,SWK
Days of sales outstanding,36.478,37.975,36.762,41.970,SWK
Days of inventory outstanding,190.740,104.441,85.410,94.874,SWK
Operating cycle,227.218,142.416,122.173,136.845,SWK
Days of payables outstanding,120.426,93.338,79.078,89.266,SWK
Cash conversion cycle,106.793,49.078,43.095,47.579,SWK
Gross profit margin,0.333,0.342,0.333,0.347,SWK
Operating profit margin,0.116,0.101,0.094,0.092,SWK
Pretax profit margin,0.105,0.087,0.078,0.073,SWK
Net profit margin,0.108,0.085,0.066,0.043,SWK
Effective tax rate,0.037,0.033,0.142,0.407,SWK
Return on assets,0.060,0.052,0.046,0.031,SWK
Return on equity,0.146,0.112,0.105,0.077,SWK
Return on capital employed,0.093,0.077,0.084,0.083,SWK
Net income per EBT,1.029,0.974,0.846,0.592,SWK
Ebt per ebit,0.903,0.861,0.831,0.797,SWK
Ebit per revenue,0.116,0.101,0.094,0.092,SWK
Debt ratio,0.589,0.530,0.556,0.596,SWK
Debt equity ratio,0.569,0.384,0.385,0.536,SWK
Long term debt to capitalization,0.273,0.277,0.258,0.328,SWK
Total debt to capitalization,0.363,0.277,0.278,0.349,SWK
Interest coverage,10.345,6.598,4.785,4.614,SWK
Cash flow to debt ratio,0.101,0.476,0.428,0.300,SWK
Company equity multiplier,2.433,2.131,2.254,2.477,SWK
Receivables turnover,10.006,9.612,9.929,8.697,SWK
Payables turnover,3.031,3.911,4.616,4.089,SWK
Inventory turnover,1.914,3.495,4.273,3.847,SWK
Fixed asset turnover,6.654,7.077,7.370,7.301,SWK
Asset turnover,0.554,0.617,0.701,0.720,SWK
Operating cash flow per share,4.177,13.116,10.149,8.467,SWK
Free cash flow per share,0.907,10.858,7.286,5.163,SWK
Cash per share,0.896,8.957,2.007,1.939,SWK
Payout ratio,0.292,0.365,0.421,0.636,SWK
Operating cash flow sales ratio,0.042,0.139,0.104,0.090,SWK
Free cash flow operating cash flow ratio,0.217,0.828,0.718,0.610,SWK
Cash flow coverage ratios,0.101,0.476,0.428,0.300,SWK
Short term coverage ratios,0.296,1.348 K,4.423,3.330,SWK
Capital expenditure coverage ratio,-1.277,-5.809,-3.545,-2.562,SWK
Dividend paid and capex coverage ratio,-26.106,19.728,-66.330,-11.762,SWK
Dividend payout ratio,0.292,0.365,0.421,0.636,SWK
Price book value ratio,2.584,2.489,2.694,2.258,SWK
Price to book ratio,2.584,2.489,2.694,2.258,SWK
Price to sales ratio,1.917,1.894,1.704,1.266,SWK
Price earnings ratio,17.728,22.313,25.752,29.240,SWK
Price to free cash flows ratio,207.954,16.445,22.769,23.018,SWK
Price to operating cash flows ratio,45.160,13.614,16.347,14.034,SWK
Price cash flow ratio,45.160,13.614,16.347,14.034,SWK
Price earnings to growth ratio,0.515,1.019,0.528,-0.620,SWK
Price sales ratio,1.917,1.894,1.704,1.266,SWK
Dividend yield,0.016,0.016,0.016,0.022,SWK
Enterprise value multiple,15.111,13.550,12.681,11.964,SWK
Price fair value,2.584,2.489,2.694,2.258,SWK
