,ticker,2023,2024,2025
Revenue(In $M),CTSH,"19,514","20,524","21,553"
Dividend,CTSH,-,-,-
Dividend Yield (in %),CTSH,2.07 %,2.19 %,2.04 %
EPS,CTSH,4.41,4.77,5.16
P/E Ratio,CTSH,13.37,12.35,11.43
EBIT(In $M),CTSH,"2,953","3,153","3,400"
EBITDA(In $M),CTSH,"3,536","3,769","4,063"
Net Profit(In $M),CTSH,"2,259","2,411","2,605"
Net Profit Adjusted(In $M),CTSH,"2,246","2,399","2,605"
Pre-Tax Profit(In $M),CTSH,"3,012","3,220","3,497"
Net Profit (Adjusted)(In $M),CTSH,"3,014","3,224","3,500"
EPS (Non-GAAP) ex. SOE(In $),CTSH,4.41,4.77,5.16
EPS (GAAP)(In $),CTSH,4.46,4.81,5.42
Gross Income(In $M),CTSH,"7,048","7,480","7,821"
Cash Flow from Investing(In $M),CTSH,-316,-268,-901
Cash Flow from Operations(In $M),CTSH,"2,598","2,869","2,927"
Cash Flow from Financing(In $M),CTSH,"-1,346","-1,409","-1,627"
Cash Flow per Share(In $),CTSH,4.63,5.44,6.17
Free Cash Flow(In $M),CTSH,"2,136","2,403","2,441"
Free Cash Flow per Share(In $),CTSH,4.38,4.71,-
Book Value per Share(In $),CTSH,26.23,29.21,31.69
Net Debt(In $M),CTSH,"-2,894","-4,201","-5,568"
Research & Development Exp.(In $M),CTSH,-,-,-
Capital Expenditure(In $M),CTSH,380,404,439
"Selling, General & Admin. Exp.(In $M)",CTSH,"3,507","3,682","3,821"
Shareholder’s Equity(In $M),CTSH,"13,271","14,469","15,680"
Total Assets(In $M),CTSH,"18,723","20,001","20,773"
