,ticker,2023,2024,2025,2026,2027
Revenue(In $M),KSS,"17,635","17,070","17,259","17,946",-
Dividend,KSS,2.02,1.53,1.58,1.46,-
Dividend Yield (in %),KSS,9.06 %,7.15 %,7.49 %,10.75 %,-
EPS,KSS,2.97,2.36,3.02,3.34,-
P/E Ratio,KSS,6.80,8.59,6.70,6.05,-
EBIT(In $M),KSS,772,679,754,753,"1,505"
EBITDA(In $M),KSS,"1,582","1,451","1,521","1,542",-
Net Profit(In $M),KSS,364,256,321,344,-
Net Profit Adjusted(In $M),KSS,364,256,321,344,-
Pre-Tax Profit(In $M),KSS,468,332,421,450,"1,464"
Net Profit (Adjusted)(In $M),KSS,480,346,400,535,-
EPS (Non-GAAP) ex. SOE(In $),KSS,2.97,2.36,3.02,3.34,-
EPS (GAAP)(In $),KSS,3.02,2.34,2.70,4.08,-
Gross Income(In $M),KSS,"6,228","6,083","6,163","6,333","9,229"
Cash Flow from Investing(In $M),KSS,-802,-600,-600,-,-
Cash Flow from Operations(In $M),KSS,356,"1,111","1,148","2,223",-
Cash Flow from Financing(In $M),KSS,-326,-579,-219,-,-
Cash Flow per Share(In $),KSS,5.52,10.66,10.69,12.37,-
Free Cash Flow(In $M),KSS,-46,621,696,982,"1,038"
Free Cash Flow per Share(In $),KSS,0.93,4.21,5.25,11.00,-
Book Value per Share(In $),KSS,34.72,35.18,35.89,38.45,-
Net Debt(In $M),KSS,"3,800","4,080","3,868","4,773",-
Research & Development Exp.(In $M),KSS,-,-,-,-,-
Capital Expenditure(In $M),KSS,824,645,630,694,831
"Selling, General & Admin. Exp.(In $M)",KSS,"5,564","5,519","5,562","5,633","6,506"
Shareholder’s Equity(In $M),KSS,"4,152","3,851","3,921","3,983",-
Total Assets(In $M),KSS,"15,579","13,898","13,883",-,-
