,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),673.8,673.8,784.83,814.888,612.299,VRSN
Depreciation & amortisation(figures in $M),46.9,46.9,47.94,46.352,46.33,VRSN
Stock-based compensation(figures in $M),58.6,58.6,53.439,48.243,50.626,VRSN
Change in working capital(figures in $M),55.7,55.7,-85.084,-170.192,56.563,VRSN
Other working capital(figures in $M),803.7,803.7,754.119,686.788,713.576,VRSN
Other non-cash items(figures in $M),-3.9,-3.9,6.027,3.425,3.668,VRSN
Net cash provided by operating activities(figures in $M),831.1,831.1,807.152,730.183,753.892,VRSN
"Investments in property, plant and equipment(figures in $M)",-27.4,-27.4,-53.033,-43.395,-40.316,VRSN
Purchases of investments(figures in $M),-1338.4,-1338.4,-2870.67,-2355.405,-2030.521,VRSN
Sales/maturities of investments(figures in $M),1721.5,1721.5,2654.457,2305.732,2247.904,VRSN
Net cash used for investing activities(figures in $M),355.7,355.7,-269.246,-72.258,167.195,VRSN
Debt repayment(figures in $M),0.0,0.0,-750.0,0.0,0.0,VRSN
Common stock repurchased(figures in $M),-1048.1,-1048.1,-722.587,-777.454,-782.583,VRSN
Other financing activities(figures in $M),0.0,0.0,0.0,0.0,-0.872,VRSN
Net cash used provided by (used for) financing activities(figures in $M),-1035.8,-1035.8,-719.13,-764.877,-770.303,VRSN
Net change in cash(figures in $M),150.2,150.2,-181.785,-107.0,150.848,VRSN
Cash at beginning of period(figures in $M),228.8,228.8,410.601,517.601,366.753,VRSN
Cash at end of period(figures in $M),379.0,379.0,228.816,410.601,517.601,VRSN
Operating cash flow(figures in $M),831.1,831.1,807.152,730.183,753.892,VRSN
Capital expenditure(figures in $M),-27.4,-27.4,-53.033,-43.395,-40.316,VRSN
Free cash flow(figures in $M),803.7,803.7,754.119,686.788,713.576,VRSN
