,2022,2021,2020,2019,2018,ticker
Current ratio,0.930,1.181,1.232,1.325,1.390,VRSN
Quick ratio,0.885,1.135,1.189,1.280,1.351,VRSN
Cash ratio,0.334,0.208,0.406,0.527,0.377,VRSN
Days of sales outstanding,2.075,3.561,2.370,5.143,3.148,VRSN
Days of inventory outstanding,0,0,0,0,0,VRSN
Operating cycle,2.075,3.561,2.370,5.143,3.148,VRSN
Days of payables outstanding,17.823,17.110,24.998,32.842,38.602,VRSN
Cash conversion cycle,-15.748,-13.548,-22.628,-27.698,-35.454,VRSN
Gross profit margin,0.859,0.855,0.858,0.853,0.842,VRSN
Operating profit margin,0.662,0.653,0.652,0.655,0.632,VRSN
Pretax profit margin,0.618,0.589,0.593,0.616,0.600,VRSN
Net profit margin,0.473,0.591,0.644,0.497,0.479,VRSN
Effective tax rate,0.234,-0.003,-0.086,0.193,0.202,VRSN
Return on assets,0.389,0.396,0.461,0.330,0.304,VRSN
Return on equity,-0.431,-0.623,-0.586,-0.411,-0.420,VRSN
Return on capital employed,1.530,0.953,1.059,0.907,0.794,VRSN
Net income per EBT,0.766,1.003,1.086,0.807,0.798,VRSN
Ebt per ebit,0.933,0.902,0.910,0.941,0.951,VRSN
Ebit per revenue,0.662,0.653,0.652,0.655,0.632,VRSN
Debt ratio,1.901,1.635,1.787,1.804,1.724,VRSN
Debt equity ratio,-1.144,-1.417,-1.288,-1.200,-1.288,VRSN
Long term debt to capitalization,7.922,3.400,4.476,6.009,4.467,VRSN
Total debt to capitalization,7.922,3.400,4.476,6.009,4.467,VRSN
Interest coverage,12.525,10.411,9.143,8.897,6.682,VRSN
Cash flow to debt ratio,0.465,0.452,0.408,0.422,0.391,VRSN
Company equity multiplier,-1.110,-1.574,-1.271,-1.244,-1.382,VRSN
Receivables turnover,175.914,102.492,154.012,70.965,115.932,VRSN
Payables turnover,20.480,21.333,14.601,11.114,9.455,VRSN
Inventory turnover,0,0,0,0,0,VRSN
Fixed asset turnover,6.142,5.284,5.151,4.921,4.785,VRSN
Asset turnover,0.822,0.669,0.716,0.664,0.635,VRSN
Operating cash flow per share,7.703,7.207,6.346,6.361,6.150,VRSN
Free cash flow per share,7.449,6.733,5.969,6.021,5.824,VRSN
Cash per share,9.086,10.766,10.142,10.278,11.191,VRSN
Payout ratio,0,0,0,0,0,VRSN
Operating cash flow sales ratio,0.583,0.608,0.577,0.612,0.574,VRSN
Free cash flow operating cash flow ratio,0.967,0.934,0.941,0.947,0.947,VRSN
Cash flow coverage ratios,0.465,0.452,0.408,0.422,0.391,VRSN
Short term coverage ratios,0,0,0,0,0,VRSN
Capital expenditure coverage ratio,-30.332,-15.220,-16.826,-18.700,-18.855,VRSN
Dividend paid and capex coverage ratio,-30.332,-15.220,-16.826,-18.700,-18.855,VRSN
Dividend payout ratio,0,0,0,0,0,VRSN
Price book value ratio,-14.190,-22.552,-17.910,-15.325,-12.143,VRSN
Price to book ratio,-14.190,-22.552,-17.910,-15.325,-12.143,VRSN
Price to sales ratio,15.557,21.413,19.682,18.540,13.847,VRSN
Price earnings ratio,32.898,36.222,30.555,37.294,28.883,VRSN
Price to free cash flows ratio,27.581,37.697,36.254,32.001,25.461,VRSN
Price to operating cash flows ratio,26.672,35.220,34.099,30.290,24.111,VRSN
Price cash flow ratio,26.672,35.220,34.099,30.290,24.111,VRSN
Price earnings to growth ratio,-2.995,-36.636,0.827,47.830,2.311,VRSN
Price sales ratio,15.557,21.413,19.682,18.540,13.847,VRSN
Dividend yield,0,0,0,0,0,VRSN
Enterprise value multiple,23.525,32.833,29.645,26.922,21.466,VRSN
Price fair value,-14.190,-22.552,-17.910,-15.325,-12.143,VRSN
