,ticker,2023,2024,2025,2026,2027
Revenue(In $M),VRSN,"1,503","1,632","1,761","1,896","1,993"
Dividend,VRSN,-,-,0.00,-,-
Dividend Yield (in %),VRSN,-,-,-,-,-
EPS,VRSN,7.09,7.97,8.86,-,-
P/E Ratio,VRSN,31.17,27.72,24.95,-,-
EBIT(In $M),VRSN,"1,030","1,124","1,248","1,292","1,365"
EBITDA(In $M),VRSN,"1,111","1,210","1,306",-,-
Net Profit(In $M),VRSN,726,824,891,936,992
Net Profit Adjusted(In $M),VRSN,733,796,878,-,-
Pre-Tax Profit(In $M),VRSN,970,"1,058","1,154","1,232","1,305"
Net Profit (Adjusted)(In $M),VRSN,981,"1,074","1,159",-,-
EPS (Non-GAAP) ex. SOE(In $),VRSN,7.56,-,-,-,-
EPS (GAAP)(In $),VRSN,6.98,8.12,9.01,9.99,10.91
Gross Income(In $M),VRSN,"1,299","1,405","1,504",-,-
Cash Flow from Investing(In $M),VRSN,-367,-368,-368,-,-
Cash Flow from Operations(In $M),VRSN,889,962,"1,030",-,-
Cash Flow from Financing(In $M),VRSN,-675,-,-,-,-
Cash Flow per Share(In $),VRSN,9.02,-,-,-,-
Free Cash Flow(In $M),VRSN,855,930,986,"1,085","1,148"
Free Cash Flow per Share(In $),VRSN,8.51,9.73,10.86,11.58,12.62
Book Value per Share(In $),VRSN,-10.11,-,-,-,-
Net Debt(In $M),VRSN,249,783,506,-,-
Research & Development Exp.(In $M),VRSN,89,-,-,-,-
Capital Expenditure(In $M),VRSN,38,42,44,-,-
"Selling, General & Admin. Exp.(In $M)",VRSN,236,-,-,-,-
Shareholder’s Equity(In $M),VRSN,"-1,075",-,-,-,-
Total Assets(In $M),VRSN,"2,282",-,-,-,-
