,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),VRSN,1424.9,1424.9,1327.576,1265.052,1231.661
Cost of revenue(figures in $M),VRSN,200.7,200.7,191.933,180.177,180.467
Gross profit(figures in $M),VRSN,1224.2,1224.2,1135.643,1084.875,1051.194
Research development(figures in $M),VRSN,85.7,85.7,80.529,74.671,60.805
Selling general and administrative(figures in $M),VRSN,195.4,195.4,188.311,186.003,184.262
Total operating expenses(figures in $M),VRSN,281.1,281.1,268.84,260.674,245.067
Operating income or loss(figures in $M),VRSN,943.1,943.1,866.803,824.201,806.127
Interest expense(figures in $M),VRSN,75.3,75.3,83.255,90.144,90.611
Total other income/expenses net(figures in $M),VRSN,-2.5,12.4,-1.329,16.187,43.26
Income before tax(figures in $M),VRSN,880.2,880.2,782.219,750.244,758.776
Income tax expense(figures in $M),VRSN,206.4,206.4,-2.611,-64.644,146.477
Income from continuing operations(figures in $M),VRSN,673.8,673.8,784.83,814.888,612.299
Net income(figures in $M),VRSN,673.8,673.8,784.83,814.888,612.299
Net income available to common shareholders(figures in $M),VRSN,673.8,673.8,784.83,814.888,612.299
Basic EPS(figures in $M),VRSN,,6.24e-06,7.01e-06,7.08e-06,5.17e-06
Diluted EPS(figures in $M),VRSN,,6.24e-06,7e-06,7.07e-06,5.150000000000001e-06
Basic average shares(figures in $M),VRSN,,107.9,112.0,115.058,118.513
Diluted average shares(figures in $M),VRSN,,108.0,112.2,115.298,118.968
EBITDA(figures in $M),VRSN,,1002.4,913.414,886.74,895.717
