,ticker,2023,2024,2025,2026
Revenue(In $M),CTAS,"8,783","9,378","10,119",-
Dividend,CTAS,4.43,4.75,4.88,-
Dividend Yield (in %),CTAS,0.99 %,1.07 %,1.04 %,-
EPS,CTAS,12.85,14.26,16.01,-
P/E Ratio,CTAS,35.70,32.19,28.66,-
EBIT(In $M),CTAS,"1,799","1,955","2,140",-
EBITDA(In $M),CTAS,"2,207","2,392","2,578",-
Net Profit(In $M),CTAS,"1,331","1,469","1,650",-
Net Profit Adjusted(In $M),CTAS,"1,330","1,473","1,685",-
Pre-Tax Profit(In $M),CTAS,"1,681","1,847","2,076",-
Net Profit (Adjusted)(In $M),CTAS,"1,682","1,860","2,134",-
EPS (Non-GAAP) ex. SOE(In $),CTAS,12.85,14.26,16.01,-
EPS (GAAP)(In $),CTAS,12.85,14.30,16.29,-
Gross Income(In $M),CTAS,"4,129","4,403","4,698",-
Cash Flow from Investing(In $M),CTAS,-200,-208,146,-78
Cash Flow from Operations(In $M),CTAS,"1,564","1,842","1,223",324
Cash Flow from Financing(In $M),CTAS,"-1,018","-1,002",-259,-328
Cash Flow per Share(In $),CTAS,15.36,18.40,-,-
Free Cash Flow(In $M),CTAS,"1,317","1,574","1,092",347
Free Cash Flow per Share(In $),CTAS,12.54,15.13,10.14,3.36
Book Value per Share(In $),CTAS,36.38,40.48,35.10,35.13
Net Debt(In $M),CTAS,"2,502","2,197","2,121",-
Research & Development Exp.(In $M),CTAS,-,-,-,-
Capital Expenditure(In $M),CTAS,304,347,285,-
"Selling, General & Admin. Exp.(In $M)",CTAS,"2,303","2,435","2,623",-
Shareholder’s Equity(In $M),CTAS,"3,818","4,410","3,294","3,633"
Total Assets(In $M),CTAS,"8,619","9,265","8,169","8,466"
