,2022,2021,2020,2019,2018,ticker
Current ratio,2.540,1.831,4.396,2.718,2.958,HP
Quick ratio,2.046,1.553,3.524,2.191,2.362,HP
Cash ratio,0.588,1.059,2.226,0.848,0.754,HP
Days of sales outstanding,81.319,68.561,40.121,64.921,82.942,HP
Days of inventory outstanding,17.501,22.273,22.737,23.034,25.809,HP
Operating cycle,98.820,90.834,62.857,87.955,108.751,HP
Days of payables outstanding,25.263,19.077,7.959,18.954,21.652,HP
Cash conversion cycle,73.557,71.757,54.898,69.001,87.099,HP
Gross profit margin,0.109,-0.130,0.057,0.153,0.101,HP
Operating profit margin,0.011,-0.286,-0.048,0.076,0.013,HP
Pretax profit margin,0.015,-0.362,-0.359,-0.018,0.006,HP
Net profit margin,0.003,-0.277,-0.280,-0.012,0.194,HP
Effective tax rate,0.788,0.235,0.220,0.365,-30.122,HP
Return on assets,0.002,-0.067,-0.103,-0.006,0.078,HP
Return on equity,0.003,-0.116,-0.150,-0.008,0.110,HP
Return on capital employed,0.006,-0.084,-0.019,0.039,0.005,HP
Net income per EBT,0.225,0.765,0.780,0.635,30.470,HP
Ebt per ebit,1.368,1.267,7.422,-0.240,0.501,HP
Ebit per revenue,0.011,-0.286,-0.048,0.076,0.013,HP
Debt ratio,0.365,0.421,0.313,0.313,0.295,HP
Debt equity ratio,0.201,0.352,0.148,0.119,0.113,HP
Long term debt to capitalization,0.164,0.157,0.127,0.107,0.101,HP
Total debt to capitalization,0.167,0.260,0.129,0.107,0.101,HP
Interest coverage,1.177,-14.536,-3.504,8.460,1.302,HP
Cash flow to debt ratio,0.421,0.133,1.095,1.785,1.102,HP
Company equity multiplier,1.575,1.728,1.455,1.455,1.418,HP
Receivables turnover,4.489,5.324,9.098,5.622,4.401,HP
Payables turnover,14.448,19.133,45.861,19.257,16.858,HP
Inventory turnover,20.856,16.387,16.053,15.846,14.143,HP
Fixed asset turnover,0.686,0.384,0.486,0.622,0.512,HP
Asset turnover,0.473,0.242,0.367,0.479,0.400,HP
Operating cash flow per share,2.209,1.265,4.989,7.835,5.003,HP
Free cash flow per share,-0.365,0.504,3.686,3.638,0.716,HP
Cash per share,3.298,10.353,5.344,3.671,2.993,HP
Payout ratio,15.446,-0.323,-0.524,-9.641,0.639,HP
Operating cash flow sales ratio,0.114,0.112,0.304,0.306,0.219,HP
Free cash flow operating cash flow ratio,-0.165,0.398,0.739,0.464,0.143,HP
Cash flow coverage ratios,0.421,0.133,1.095,1.785,1.102,HP
Short term coverage ratios,18.891,0.282,47.420,0,0,HP
Capital expenditure coverage ratio,-0.858,-1.661,-3.827,-1.867,-1.167,HP
Dividend paid and capex coverage ratio,-1.416,5.057,4.508,-5.903,-3.443,HP
Dividend payout ratio,15.446,-0.323,-0.524,-9.641,0.639,HP
Price book value ratio,1.416,1.015,0.477,1.091,1.741,HP
Price to book ratio,1.416,1.015,0.477,1.091,1.741,HP
Price to sales ratio,1.901,2.425,0.892,1.564,3.067,HP
Price earnings ratio,563.036,-8.757,-3.188,-134.614,15.804,HP
Price to free cash flows ratio,-101.351,54.433,3.975,11.014,97.865,HP
Price to operating cash flows ratio,16.736,21.660,2.936,5.114,14.009,HP
Price cash flow ratio,16.736,21.660,2.936,5.114,14.009,HP
Price earnings to growth ratio,5.542,-0.274,0.002,1.260,0.034,HP
Price sales ratio,1.901,2.425,0.892,1.564,3.067,HP
Dividend yield,0.027,0.037,0.165,0.072,0.040,HP
Enterprise value multiple,9.924,42.838,3.976,5.810,12.842,HP
Price fair value,1.416,1.015,0.477,1.091,1.741,HP
