,ticker,2023,2024,2025,2026,2027
Revenue(In $M),HP,"2,924","3,030","3,096","3,208","3,223"
Dividend,HP,1.95,1.35,0.99,-,-
Dividend Yield (in %),HP,5.14 %,3.71 %,3.48 %,-,-
EPS,HP,4.25,4.58,5.00,4.94,4.82
P/E Ratio,HP,7.37,6.84,6.27,6.34,6.50
EBIT(In $M),HP,588,614,608,704,693
EBITDA(In $M),HP,989,"1,013",954,"1,089","1,078"
Net Profit(In $M),HP,444,467,454,530,522
Net Profit Adjusted(In $M),HP,443,454,491,-,-
Pre-Tax Profit(In $M),HP,597,620,621,707,696
Net Profit (Adjusted)(In $M),HP,609,570,747,-,-
EPS (Non-GAAP) ex. SOE(In $),HP,4.25,4.58,5.00,4.94,4.82
EPS (GAAP)(In $),HP,4.22,4.24,4.70,4.94,4.82
Gross Income(In $M),HP,"1,189","1,217","1,338","1,341","1,331"
Cash Flow from Investing(In $M),HP,-347,-392,-314,-,-
Cash Flow from Operations(In $M),HP,755,899,950,921,916
Cash Flow from Financing(In $M),HP,-360,-182,-204,-,-
Cash Flow per Share(In $),HP,7.88,8.50,8.77,-,-
Free Cash Flow(In $M),HP,321,489,502,489,456
Free Cash Flow per Share(In $),HP,2.23,4.13,-,-,-
Book Value per Share(In $),HP,27.48,24.78,29.99,-,-
Net Debt(In $M),HP,234,-86,-255,-647,-966
Research & Development Exp.(In $M),HP,30,27,26,28,28
Capital Expenditure(In $M),HP,423,409,370,433,460
"Selling, General & Admin. Exp.(In $M)",HP,199,205,191,-,-
Shareholder’s Equity(In $M),HP,"2,821","3,181","3,560",-,-
Total Assets(In $M),HP,"4,424","4,806","5,292",-,-
