,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),HP,2368.799,2058.944,1218.568,1773.927,2798.49
Cost of revenue(figures in $M),HP,1959.158,1834.397,1377.464,1672.45,2371.389
Gross profit(figures in $M),HP,409.641,224.547,-158.896,101.477,427.101
Research development(figures in $M),HP,26.969,26.563,21.724,21.645,27.467
Selling general and administrative(figures in $M),HP,187.106,182.366,172.195,167.513,194.416
Total operating expenses(figures in $M),HP,214.075,208.929,193.919,189.158,221.883
Operating income or loss(figures in $M),HP,195.566,15.618,-352.815,-87.681,205.218
Interest expense(figures in $M),HP,17.444,19.203,23.955,24.474,25.188
Total other income/expenses net(figures in $M),HP,20.311,16.413,-74.664,-531.647,-240.72
Income before tax(figures in $M),HP,218.639,30.918,-441.18,-636.498,-51.222
Income tax expense(figures in $M),HP,64.329,24.366,-103.721,-140.106,-18.712
Income from continuing operations(figures in $M),HP,154.31,6.552,-337.459,-496.392,-32.51
Net income(figures in $M),HP,155.46,6.953,-326.15,-494.497,-33.656
Net income available to common shareholders(figures in $M),HP,153.334,6.953,-326.15,-494.497,-33.656
Basic EPS(figures in $M),HP,,5.0000000000000004e-08,-3.04e-06,-4.6e-06,-3.4000000000000003e-07
Diluted EPS(figures in $M),HP,,5.0000000000000004e-08,-3.04e-06,-4.6e-06,-3.4000000000000003e-07
Basic average shares(figures in $M),HP,,105.891,107.818,108.009,109.216
Diluted average shares(figures in $M),HP,,106.555,107.818,108.009,109.216
EBITDA(figures in $M),HP,,453.291,2.501,-130.139,536.769
