,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),ECL,14187.8,14187.8,12733.1,11790.2,12562.0
Cost of revenue(figures in $M),ECL,8831.0,8831.0,7615.8,6905.8,7045.8
Gross profit(figures in $M),ECL,5356.8,5356.8,5117.3,4884.4,5516.2
Selling general and administrative(figures in $M),ECL,3653.8,3653.8,3416.1,3309.1,3550.8
Total operating expenses(figures in $M),ECL,3653.8,3653.8,3416.1,3309.1,3550.8
Operating income or loss(figures in $M),ECL,1703.0,1703.0,1701.2,1575.3,1965.4
Interest expense(figures in $M),ECL,252.1,243.6,218.3,290.2,214.4
Total other income/expenses net(figures in $M),ECL,-116.0,-116.0,-68.7,-123.7,-43.2
Income before tax(figures in $M),ECL,1343.4,1343.4,1414.2,1161.4,1731.5
Income tax expense(figures in $M),ECL,234.5,234.5,270.2,176.6,288.6
Income from continuing operations(figures in $M),ECL,1108.9,1108.9,1144.0,984.8,1442.9
Net income(figures in $M),ECL,1091.7,1091.7,1129.9,-1205.1,1558.9
Net income available to common shareholders(figures in $M),ECL,1091.7,1091.7,1129.9,-1205.1,1558.9
Basic EPS(figures in $M),ECL,,3.83e-06,3.95e-06,-4.2000000000000004e-06,5.41e-06
Diluted EPS(figures in $M),ECL,,3.81e-06,3.91e-06,-4.2000000000000004e-06,5.33e-06
Basic average shares(figures in $M),ECL,,285.2,286.3,287.0,288.1
Diluted average shares(figures in $M),ECL,,286.6,289.1,290.3,292.5
EBITDA(figures in $M),ECL,,1587.0,1632.5,1451.6,2721.2
