,ticker,2023,2024,2025
Revenue(In $M),ECL,"15,299","16,066","16,817"
Dividend,ECL,2.15,2.26,2.47
Dividend Yield (in %),ECL,1.34 %,1.42 %,1.55 %
EPS,ECL,4.99,5.83,6.57
P/E Ratio,ECL,34.54,29.56,26.26
EBIT(In $M),ECL,"2,037","2,314","2,552"
EBITDA(In $M),ECL,"3,011","3,295","3,604"
Net Profit(In $M),ECL,"1,430","1,690","1,868"
Net Profit Adjusted(In $M),ECL,"1,432","1,692","1,849"
Pre-Tax Profit(In $M),ECL,"1,789","2,084","2,340"
Net Profit (Adjusted)(In $M),ECL,"1,755","2,065","2,381"
EPS (Non-GAAP) ex. SOE(In $),ECL,4.99,5.83,6.57
EPS (GAAP)(In $),ECL,4.92,5.89,6.94
Gross Income(In $M),ECL,"5,966","6,418","6,814"
Cash Flow from Investing(In $M),ECL,-810,-907,-928
Cash Flow from Operations(In $M),ECL,"2,040","2,460","2,727"
Cash Flow from Financing(In $M),ECL,"-1,279","-1,423","-1,476"
Cash Flow per Share(In $),ECL,6.96,8.41,9.32
Free Cash Flow(In $M),ECL,"1,320","1,656","1,979"
Free Cash Flow per Share(In $),ECL,4.04,5.52,7.29
Book Value per Share(In $),ECL,27.20,28.85,31.26
Net Debt(In $M),ECL,"7,598","7,327","6,918"
Research & Development Exp.(In $M),ECL,-,-,-
Capital Expenditure(In $M),ECL,803,842,859
"Selling, General & Admin. Exp.(In $M)",ECL,"3,942","4,104","4,293"
Shareholder’s Equity(In $M),ECL,"7,779","8,259","8,933"
Total Assets(In $M),ECL,"21,618","21,850","21,917"
