,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),WM,19698.0,19698.0,17931.0,15218.0,15455.0
Cost of revenue(figures in $M),WM,12294.0,12294.0,11111.0,9341.0,9496.0
Gross profit(figures in $M),WM,7404.0,7404.0,6820.0,5877.0,5959.0
Selling general and administrative(figures in $M),WM,1888.0,1938.0,1864.0,1728.0,1631.0
Total operating expenses(figures in $M),WM,3976.0,3976.0,3863.0,3399.0,3205.0
Operating income or loss(figures in $M),WM,3428.0,3428.0,2957.0,2478.0,2754.0
Interest expense(figures in $M),WM,378.0,378.0,365.0,425.0,411.0
Total other income/expenses net(figures in $M),WM,-132.0,-132.0,-243.0,-160.0,-238.0
Income before tax(figures in $M),WM,2918.0,2918.0,2349.0,1893.0,2105.0
Income tax expense(figures in $M),WM,678.0,678.0,532.0,397.0,434.0
Income from continuing operations(figures in $M),WM,2240.0,2240.0,1817.0,1496.0,1671.0
Net income(figures in $M),WM,2238.0,2238.0,1816.0,1496.0,1670.0
Net income available to common shareholders(figures in $M),WM,2238.0,2238.0,1816.0,1496.0,1670.0
Basic EPS(figures in $M),WM,,5.42e-06,4.32e-06,3.54e-06,3.9300000000000005e-06
Diluted EPS(figures in $M),WM,,5.39e-06,4.2900000000000004e-06,3.52e-06,3.91e-06
Basic average shares(figures in $M),WM,,412.8,420.4,423.0,424.6
Diluted average shares(figures in $M),WM,,415.0,422.9,425.1,427.5
EBITDA(figures in $M),WM,,5334.0,4713.0,3989.0,4090.0
