,ticker,2023,2024,2025,2026,2027
Revenue(In $M),WM,"20,676","21,849","23,316","25,278","26,766"
Dividend,WM,2.81,2.97,3.06,-,-
Dividend Yield (in %),WM,1.79 %,1.89 %,1.94 %,-,-
EPS,WM,6.05,6.75,7.76,8.97,9.74
P/E Ratio,WM,27.70,24.80,21.59,18.68,17.20
EBIT(In $M),WM,"3,784","4,102","4,555",-,-
EBITDA(In $M),WM,"5,906","6,352","6,969","7,780","8,266"
Net Profit(In $M),WM,"2,463","2,714","3,101","3,668","3,986"
Net Profit Adjusted(In $M),WM,"2,464","2,711","3,087","3,668","3,986"
Pre-Tax Profit(In $M),WM,"3,220","3,555","4,035","4,702","5,110"
Net Profit (Adjusted)(In $M),WM,"3,203","3,462","3,782",-,-
EPS (Non-GAAP) ex. SOE(In $),WM,6.05,6.75,7.76,8.97,9.74
EPS (GAAP)(In $),WM,5.98,6.65,7.62,8.97,9.74
Gross Income(In $M),WM,"7,846","8,382","8,888",-,-
Cash Flow from Investing(In $M),WM,"-3,243","-2,731",-,-,-
Cash Flow from Operations(In $M),WM,"4,673","5,113","5,598","6,340","6,799"
Cash Flow from Financing(In $M),WM,"-1,552","-1,778",60,-,-
Cash Flow per Share(In $),WM,10.48,11.64,13.29,-,-
Free Cash Flow(In $M),WM,"1,553","2,388","2,943","3,583","3,879"
Free Cash Flow per Share(In $),WM,3.85,5.91,7.27,-,-
Book Value per Share(In $),WM,17.05,18.55,20.79,-,-
Net Debt(In $M),WM,"15,571","15,246","14,467","10,705","8,774"
Research & Development Exp.(In $M),WM,-,-,-,-,-
Capital Expenditure(In $M),WM,"3,048","2,705","2,024","2,781","2,944"
"Selling, General & Admin. Exp.(In $M)",WM,"1,957","2,054","2,157",-,-
Shareholder’s Equity(In $M),WM,"7,079","7,552","7,635",-,-
Total Assets(In $M),WM,"31,107","32,254",-,-,-
