,ticker,2023,2024,2025,2026
Revenue(In $M),GE,"61,098","66,465","71,202",-
Dividend,GE,0.39,0.39,0.42,-
Dividend Yield (in %),GE,0.39 %,0.39 %,0.49 %,-
EPS,GE,2.04,3.97,5.23,6.05
P/E Ratio,GE,48.79,25.05,18.99,16.42
EBIT(In $M),GE,"4,826","7,578","9,228","11,155"
EBITDA(In $M),GE,"7,138","9,637","11,383",-
Net Profit(In $M),GE,"2,224","4,424","5,720",-
Net Profit Adjusted(In $M),GE,"2,231","4,447","5,729",-
Pre-Tax Profit(In $M),GE,"3,551","6,367","7,970",-
Net Profit (Adjusted)(In $M),GE,"6,153","6,607","7,980",-
EPS (Non-GAAP) ex. SOE(In $),GE,2.04,3.97,5.23,6.05
EPS (GAAP)(In $),GE,5.05,4.32,5.72,-
Gross Income(In $M),GE,"19,844","18,965","20,398",-
Cash Flow from Investing(In $M),GE,-922,"-1,072","-1,158",-
Cash Flow from Operations(In $M),GE,"4,317","5,564","7,139",-
Cash Flow from Financing(In $M),GE,"-3,590",-676,-840,-
Cash Flow per Share(In $),GE,4.48,5.21,6.31,-
Free Cash Flow(In $M),GE,"3,956","4,653","5,773","7,443"
Free Cash Flow per Share(In $),GE,2.80,3.83,4.96,6.83
Book Value per Share(In $),GE,32.02,32.51,34.75,-
Net Debt(In $M),GE,"4,807","3,724",-513,-
Research & Development Exp.(In $M),GE,"2,377","2,565","2,711",-
Capital Expenditure(In $M),GE,"1,258","1,392","1,524",-
"Selling, General & Admin. Exp.(In $M)",GE,"9,956","10,759","11,383",-
Shareholder’s Equity(In $M),GE,"34,202","36,740","39,983",-
Total Assets(In $M),GE,"169,467","173,398","177,205",-
