,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),-45.338,-45.338,-33.768,-16.224,-23.603,LIFE
Depreciation & amortisation(figures in $M),1.695,1.695,1.304,1.266,1.366,LIFE
Stock-based compensation(figures in $M),2.154,2.154,1.614,1.465,1.783,LIFE
Change in working capital(figures in $M),-0.833,-0.833,-2.588,-2.261,0.206,LIFE
Other working capital(figures in $M),-43.527,-43.527,-33.267,-15.503,-20.092,LIFE
Other non-cash items(figures in $M),0.0,0.0,0.366,0.346,0.707,LIFE
Net cash provided by operating activities(figures in $M),-41.886,-41.886,-33.075,-15.301,-20.013,LIFE
"Investments in property, plant and equipment(figures in $M)",-1.641,-1.641,-0.192,-0.202,-0.079,LIFE
Purchases of investments(figures in $M),-42.118,-42.118,-126.506,-21.066,-40.647,LIFE
Sales/maturities of investments(figures in $M),90.825,90.825,35.082,28.15,45.6,LIFE
Net cash used for investing activities(figures in $M),47.245,47.245,-91.566,6.9,4.925,LIFE
Debt repayment(figures in $M),-0.066,-0.066,0.0,-9.083,-8.0,LIFE
Common stock issued(figures in $M),5.472,5.472,109.952,25.216,9.323,LIFE
Net cash used provided by (used for) financing activities(figures in $M),5.451,5.451,110.025,16.143,1.336,LIFE
Net change in cash(figures in $M),10.81,10.81,-14.616,7.742,-13.752,LIFE
Cash at beginning of period(figures in $M),2.336,2.336,16.952,9.21,22.962,LIFE
Cash at end of period(figures in $M),13.146,13.146,2.336,16.952,9.21,LIFE
Operating cash flow(figures in $M),-41.886,-41.886,-33.075,-15.301,-20.013,LIFE
Capital expenditure(figures in $M),-1.641,-1.641,-0.192,-0.202,-0.079,LIFE
Free cash flow(figures in $M),-43.527,-43.527,-33.267,-15.503,-20.092,LIFE
