,ticker,2023,2024,2025,2026,2027
Revenue(In $M),LIFE,8,9,30,127,254
Dividend,LIFE,-,-,-,-,-
Dividend Yield (in %),LIFE,-,-,-,-,-
EPS,LIFE,-1.32,-1.31,-0.89,0.05,1.41
P/E Ratio,LIFE,-1.56,-1.58,-2.31,44.76,1.46
EBIT(In $M),LIFE,-62,-74,-75,-20,77
EBITDA(In $M),LIFE,-60,-73,-92,-23,45
Net Profit(In $M),LIFE,-61,-73,-74,-24,60
Net Profit Adjusted(In $M),LIFE,-48,-53,-32,-,-
Pre-Tax Profit(In $M),LIFE,-61,-73,-74,-19,78
Net Profit (Adjusted)(In $M),LIFE,-50,-55,-34,-,-
EPS (Non-GAAP) ex. SOE(In $),LIFE,-1.37,-1.74,-1.77,-,-
EPS (GAAP)(In $),LIFE,-1.59,-1.70,-1.38,0.03,-
Gross Income(In $M),LIFE,9,12,34,121,229
Cash Flow from Investing(In $M),LIFE,-,-,-,-,-
Cash Flow from Operations(In $M),LIFE,-,-,-,-,-
Cash Flow from Financing(In $M),LIFE,-,50,100,-,-
Cash Flow per Share(In $),LIFE,-,-,-,-,-
Free Cash Flow(In $M),LIFE,-50,-56,-22,-,-
Free Cash Flow per Share(In $),LIFE,-,-,-,-,-
Book Value per Share(In $),LIFE,-,-,-,-,-
Net Debt(In $M),LIFE,-108,-51,-128,-,-
Research & Development Exp.(In $M),LIFE,53,61,64,68,73
Capital Expenditure(In $M),LIFE,-,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",LIFE,15,21,32,67,73
Shareholder’s Equity(In $M),LIFE,165,110,123,-,-
Total Assets(In $M),LIFE,173,118,131,-,-
