,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NOC,"38,364","40,489","42,692","45,996","50,770"
Dividend,NOC,7.31,7.93,8.62,10.00,11.00
Dividend Yield (in %),NOC,1.61 %,1.76 %,1.93 %,2.20 %,2.42 %
EPS,NOC,22.53,24.73,28.07,30.49,34.70
P/E Ratio,NOC,19.64,17.90,15.77,14.52,12.76
EBIT(In $M),NOC,"4,016","4,421","4,927","5,225","5,918"
EBITDA(In $M),NOC,"5,380","5,798","6,322","7,092","8,117"
Net Profit(In $M),NOC,"3,425","3,704","4,128","4,412","4,964"
Net Profit Adjusted(In $M),NOC,"3,406","3,694","4,131","4,430","4,964"
Pre-Tax Profit(In $M),NOC,"4,117","4,467","4,972","5,322","5,981"
Net Profit (Adjusted)(In $M),NOC,"4,093","4,433","4,918",-,-
EPS (Non-GAAP) ex. SOE(In $),NOC,22.53,24.73,28.07,30.49,34.70
EPS (GAAP)(In $),NOC,22.43,24.80,27.98,30.49,34.70
Gross Income(In $M),NOC,"8,018","8,600","9,011",-,-
Cash Flow from Investing(In $M),NOC,"-1,353","-1,340","-1,186","-1,464","-1,314"
Cash Flow from Operations(In $M),NOC,"3,733","4,148","4,619","5,112","5,862"
Cash Flow from Financing(In $M),NOC,"-2,141","-2,750","-2,927","-3,630","-4,329"
Cash Flow per Share(In $),NOC,15.79,18.14,32.46,-,-
Free Cash Flow(In $M),NOC,"2,064","2,498","3,133","3,669","4,549"
Free Cash Flow per Share(In $),NOC,13.48,16.79,21.30,24.91,-
Book Value per Share(In $),NOC,105.45,111.53,118.50,-,-
Net Debt(In $M),NOC,"9,975","10,508","10,563","9,579","7,385"
Research & Development Exp.(In $M),NOC,960,996,"1,031",-,-
Capital Expenditure(In $M),NOC,"1,664","1,638","1,490","1,443","1,314"
"Selling, General & Admin. Exp.(In $M)",NOC,"3,944","4,063","4,294",-,-
Shareholder’s Equity(In $M),NOC,"15,402","16,273","17,329","22,470","19,385"
Total Assets(In $M),NOC,"43,663","44,094","44,383","47,518","47,792"
