,ticker,2023,2024,2025,2026
Revenue(In $M),ADI,"12,727","13,034","13,547","15,900"
Dividend,ADI,3.36,3.75,4.44,-
Dividend Yield (in %),ADI,1.84 %,2.07 %,2.38 %,-
EPS,ADI,10.75,11.03,11.74,13.20
P/E Ratio,ADI,16.88,16.45,15.45,13.74
EBIT(In $M),ADI,"6,359","6,457","6,713","7,838"
EBITDA(In $M),ADI,"6,429","6,331","7,490","8,169"
Net Profit(In $M),ADI,"5,455","5,473","5,711","6,649"
Net Profit Adjusted(In $M),ADI,"5,455","5,473","5,711","6,649"
Pre-Tax Profit(In $M),ADI,"6,203","6,269","6,532","7,642"
Net Profit (Adjusted)(In $M),ADI,"4,359","4,722","4,560",-
EPS (Non-GAAP) ex. SOE(In $),ADI,10.75,11.03,11.74,13.20
EPS (GAAP)(In $),ADI,7.28,7.59,7.95,9.72
Gross Income(In $M),ADI,"9,288","9,489","9,804","11,548"
Cash Flow from Investing(In $M),ADI,-696,-526,-291,-795
Cash Flow from Operations(In $M),ADI,"5,961","6,112","5,916","7,117"
Cash Flow from Financing(In $M),ADI,"-4,005","-4,611","-3,979","-6,322"
Cash Flow per Share(In $),ADI,11.31,12.27,13.52,14.14
Free Cash Flow(In $M),ADI,"4,993","5,435","5,351","6,322"
Free Cash Flow per Share(In $),ADI,9.83,10.87,10.64,12.56
Book Value per Share(In $),ADI,72.73,72.94,70.41,63.27
Net Debt(In $M),ADI,"4,239","3,801","4,277",-
Research & Development Exp.(In $M),ADI,"1,659","1,738","1,840","2,271"
Capital Expenditure(In $M),ADI,906,731,742,795
"Selling, General & Admin. Exp.(In $M)",ADI,"1,289","1,332","1,433","1,439"
Shareholder’s Equity(In $M),ADI,"36,565","36,307","34,819","31,759"
Total Assets(In $M),ADI,"50,444","50,462","49,501","45,354"
