,ticker,2023,2024,2025,2026
Revenue(In $M),FAST,"7,375","7,840","8,435","9,288"
Dividend,FAST,1.34,1.42,1.36,1.86
Dividend Yield (in %),FAST,2.52 %,2.71 %,2.60 %,3.55 %
EPS,FAST,2.00,2.13,2.30,2.46
P/E Ratio,FAST,27.08,25.38,23.55,22.01
EBIT(In $M),FAST,"1,529","1,631","1,769","1,932"
EBITDA(In $M),FAST,"1,700","1,802","1,906","2,155"
Net Profit(In $M),FAST,"1,144","1,216","1,286","1,409"
Net Profit Adjusted(In $M),FAST,"1,142","1,221","1,290","1,409"
Pre-Tax Profit(In $M),FAST,"1,513","1,611","1,699","1,866"
Net Profit (Adjusted)(In $M),FAST,"1,519","1,632",-,-
EPS (Non-GAAP) ex. SOE(In $),FAST,-,-,-,2.56
EPS (GAAP)(In $),FAST,2.00,2.13,2.30,2.46
Gross Income(In $M),FAST,"3,354","3,518","3,699","3,951"
Cash Flow from Investing(In $M),FAST,-199,-203,-222,-252
Cash Flow from Operations(In $M),FAST,"1,304","1,283","1,368","1,423"
Cash Flow from Financing(In $M),FAST,"-1,037",-909,-927,"-1,150"
Cash Flow per Share(In $),FAST,2.23,2.22,2.39,2.48
Free Cash Flow(In $M),FAST,"1,031","1,023","1,112","1,178"
Free Cash Flow per Share(In $),FAST,1.64,1.79,1.95,2.11
Book Value per Share(In $),FAST,6.19,6.87,7.67,7.30
Net Debt(In $M),FAST,105,-19,-604,-
Research & Development Exp.(In $M),FAST,-,-,-,-
Capital Expenditure(In $M),FAST,199,207,198,252
"Selling, General & Admin. Exp.(In $M)",FAST,"1,790","1,853",-,-
Shareholder’s Equity(In $M),FAST,"3,539","3,948","4,185","4,148"
Total Assets(In $M),FAST,"4,760","5,184","5,276","5,339"
