,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),1086.9,1086.9,925.0,859.1,790.9,FAST
Depreciation & amortisation(figures in $M),176.6,176.6,170.7,162.4,148.7,FAST
Deferred income taxes(figures in $M),-4.9,-4.9,-13.7,2.9,15.0,FAST
Stock-based compensation(figures in $M),7.2,7.2,5.6,5.7,5.7,FAST
Change in working capital(figures in $M),-324.1,-324.1,-318.9,65.6,-121.9,FAST
Accounts receivable(figures in $M),-119.8,-119.8,-135.2,-29.7,-30.4,FAST
Inventory(figures in $M),-198.0,-198.0,-189.5,36.0,-84.4,FAST
Accounts payable(figures in $M),21.9,21.9,26.1,14.2,-0.8,FAST
Other working capital(figures in $M),767.2,767.2,613.5,933.7,596.3,FAST
Net cash provided by operating activities(figures in $M),941.0,941.0,770.1,1101.8,842.7,FAST
"Investments in property, plant and equipment(figures in $M)",-173.8,-173.8,-156.6,-168.1,-246.4,FAST
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,-125.0,0.0,FAST
Other investing activities(figures in $M),-0.6,-0.6,-0.3,0.8,0.1,FAST
Net cash used for investing activities(figures in $M),-163.0,-163.0,-148.5,-281.7,-239.7,FAST
Debt repayment(figures in $M),-1630.0,-1630.0,-540.0,-940.0,-1065.0,FAST
Common stock repurchased(figures in $M),-237.8,-237.8,0.0,-52.0,0.0,FAST
Dividends paid(figures in $M),-711.3,-711.3,-643.7,-803.4,-498.6,FAST
Net cash used provided by (used for) financing activities(figures in $M),-774.9,-774.9,-627.1,-754.4,-595.1,FAST
Net change in cash(figures in $M),-6.1,-6.1,-9.5,70.8,7.7,FAST
Cash at beginning of period(figures in $M),236.2,236.2,245.7,174.9,167.2,FAST
Cash at end of period(figures in $M),230.1,230.1,236.2,245.7,174.9,FAST
Operating cash flow(figures in $M),941.0,941.0,770.1,1101.8,842.7,FAST
Capital expenditure(figures in $M),-173.8,-173.8,-156.6,-168.1,-246.4,FAST
Free cash flow(figures in $M),767.2,767.2,613.5,933.7,596.3,FAST
