,ticker,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Cash and cash equivalents(figures in $M),TEL,1088.0,1203.0,945.0,927.0
Total cash(figures in $M),TEL,1088.0,1203.0,945.0,927.0
Net receivables(figures in $M),TEL,2865.0,2928.0,2377.0,2320.0
Inventory(figures in $M),TEL,2676.0,2511.0,1950.0,1836.0
Total current assets(figures in $M),TEL,7268.0,7263.0,5784.0,5554.0
"Gross property, plant and equipment(figures in $M)",TEL,9773.0,10519.0,9954.0,9480.0
Accumulated depreciation(figures in $M),TEL,-6206.0,-6741.0,-6304.0,-5906.0
"Net property, plant and equipment(figures in $M)",TEL,3567.0,3778.0,3650.0,3574.0
Goodwill(figures in $M),TEL,5258.0,5590.0,5224.0,5740.0
Intangible assets(figures in $M),TEL,1288.0,1549.0,1593.0,1596.0
Other long-term assets(figures in $M),TEL,903.0,783.0,813.0,454.0
Total non-current assets(figures in $M),TEL,13514.0,14199.0,13458.0,14140.0
Total assets(figures in $M),TEL,20782.0,21462.0,19242.0,19694.0
Current debt(figures in $M),TEL,914.0,503.0,694.0,570.0
Accounts payable(figures in $M),TEL,1593.0,1911.0,1276.0,1357.0
Taxes payable(figures in $M),TEL,162.0,146.0,113.0,94.0
Accrued liabilities(figures in $M),TEL,2125.0,2242.0,1720.0,1613.0
Deferred revenues(figures in $M),TEL,63.0,51.0,47.0,36.0
Other current liabilities(figures in $M),TEL,603.0,573.0,408.0,426.0
Total current liabilities(figures in $M),TEL,4632.0,4656.0,3690.0,3540.0
Long-term debt(figures in $M),TEL,3292.0,3589.0,3452.0,3395.0
Deferred tax liabilities(figures in $M),TEL,244.0,181.0,143.0,156.0
Other long-term liabilities(figures in $M),TEL,718.0,847.0,874.0,427.0
Total non-current liabilities(figures in $M),TEL,5253.0,6058.0,6057.0,5584.0
Total liabilities(figures in $M),TEL,9885.0,10714.0,9747.0,9124.0
Common stock(figures in $M),TEL,146.0,148.0,149.0,154.0
Retained earnings(figures in $M),TEL,12832.0,11709.0,10348.0,12256.0
Accumulated other comprehensive income(figures in $M),TEL,-495.0,-168.0,-445.0,-503.0
Total stockholders' equity(figures in $M),TEL,10802.0,10634.0,9383.0,10570.0
Total liabilities and stockholders' equity(figures in $M),TEL,20782.0,21462.0,19242.0,19694.0
