,ticker,2023,2024,2025,2026
Revenue(In $M),TEL,"16,077","17,020","18,180","19,171"
Dividend,TEL,2.22,2.31,2.36,-
Dividend Yield (in %),TEL,1.70 %,1.79 %,1.83 %,-
EPS,TEL,6.57,7.54,8.77,9.65
P/E Ratio,TEL,18.86,16.44,14.13,12.85
EBIT(In $M),TEL,"2,668","3,013","3,404","3,598"
EBITDA(In $M),TEL,"3,457","3,793","4,037","3,598"
Net Profit(In $M),TEL,"2,083","2,345","2,689",-
Net Profit Adjusted(In $M),TEL,"2,083","2,345","2,689",-
Pre-Tax Profit(In $M),TEL,"2,599","2,939","3,347",-
Net Profit (Adjusted)(In $M),TEL,"2,508","2,889","3,277",-
EPS (Non-GAAP) ex. SOE(In $),TEL,6.57,7.54,8.77,9.65
EPS (GAAP)(In $),TEL,6.06,7.27,8.82,-
Gross Income(In $M),TEL,"5,030","5,480","5,832",-
Cash Flow from Investing(In $M),TEL,-839,-804,-877,-
Cash Flow from Operations(In $M),TEL,"2,803","3,069","3,390",-
Cash Flow from Financing(In $M),TEL,"-1,994","-1,751","-1,777",-
Cash Flow per Share(In $),TEL,8.86,9.83,11.67,-
Free Cash Flow(In $M),TEL,"1,913","2,202","2,409","2,521"
Free Cash Flow per Share(In $),TEL,5.83,6.79,7.83,8.68
Book Value per Share(In $),TEL,36.48,40.27,44.37,-
Net Debt(In $M),TEL,"3,055","2,435","1,840",-
Research & Development Exp.(In $M),TEL,721,766,880,-
Capital Expenditure(In $M),TEL,769,812,907,-
"Selling, General & Admin. Exp.(In $M)",TEL,"1,646","1,708","1,724",-
Shareholder’s Equity(In $M),TEL,"11,352","12,153","13,310",-
Total Assets(In $M),TEL,"21,309","22,034",-,-
