,ticker,ttm,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total revenue(figures in $M),TEL,16304.0,16281.0,14923.0,12172.0,13448.0
Cost of revenue(figures in $M),TEL,11103.0,11037.0,10036.0,8437.0,9054.0
Gross profit(figures in $M),TEL,5201.0,5244.0,4887.0,3735.0,4394.0
Research development(figures in $M),TEL,716.0,718.0,677.0,613.0,644.0
Selling general and administrative(figures in $M),TEL,1613.0,1584.0,1512.0,1392.0,1490.0
Total operating expenses(figures in $M),TEL,2329.0,2302.0,2189.0,2005.0,2134.0
Operating income or loss(figures in $M),TEL,2872.0,2942.0,2698.0,1730.0,2260.0
Interest expense(figures in $M),TEL,75.0,66.0,56.0,48.0,68.0
Total other income/expenses net(figures in $M),TEL,-278.0,-158.0,-281.0,-1173.0,-280.0
Income before tax(figures in $M),TEL,2541.0,2733.0,2378.0,524.0,1931.0
Income tax expense(figures in $M),TEL,283.0,306.0,123.0,783.0,-15.0
Income from continuing operations(figures in $M),TEL,2258.0,2427.0,2255.0,-259.0,1946.0
Net income(figures in $M),TEL,2259.0,2428.0,2261.0,-241.0,1844.0
Net income available to common shareholders(figures in $M),TEL,2259.0,2428.0,2261.0,-241.0,1844.0
Basic EPS(figures in $M),TEL,,7.519999999999999e-06,6.85e-06,-7.3e-07,5.46e-06
Diluted EPS(figures in $M),TEL,,7.47e-06,6.79e-06,-7.3e-07,5.42e-06
Basic average shares(figures in $M),TEL,,323.0,330.0,332.0,338.0
Diluted average shares(figures in $M),TEL,,325.0,333.0,332.0,340.0
EBITDA(figures in $M),TEL,,3584.0,3203.0,1283.0,2689.0
