,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),VZ,136835.0,136835.0,133613.0,128292.0,131868.0
Cost of revenue(figures in $M),VZ,59133.0,59133.0,56301.0,51201.0,54726.0
Gross profit(figures in $M),VZ,77702.0,77702.0,77312.0,77091.0,77142.0
Selling general and administrative(figures in $M),VZ,30136.0,30136.0,28658.0,31573.0,29896.0
Total operating expenses(figures in $M),VZ,47235.0,47235.0,44864.0,48293.0,46578.0
Operating income or loss(figures in $M),VZ,30467.0,30467.0,32448.0,28798.0,30564.0
Interest expense(figures in $M),VZ,3613.0,3613.0,3485.0,4247.0,4730.0
Total other income/expenses net(figures in $M),VZ,1271.0,1417.0,457.0,-584.0,-3101.0
Income before tax(figures in $M),VZ,28271.0,28271.0,29420.0,23967.0,22733.0
Income tax expense(figures in $M),VZ,6523.0,6523.0,6802.0,5619.0,2945.0
Income from continuing operations(figures in $M),VZ,21748.0,21748.0,22618.0,18348.0,19788.0
Net income(figures in $M),VZ,21256.0,21256.0,22065.0,17801.0,19265.0
Net income available to common shareholders(figures in $M),VZ,21256.0,21256.0,22065.0,17801.0,19265.0
Basic EPS(figures in $M),VZ,,5.06e-06,5.32e-06,4.2999999999999995e-06,4.66e-06
Diluted EPS(figures in $M),VZ,,5.06e-06,5.32e-06,4.2999999999999995e-06,4.65e-06
Basic average shares(figures in $M),VZ,,4202.0,4148.0,4140.0,4138.0
Diluted average shares(figures in $M),VZ,,4204.0,4150.0,4142.0,4140.0
EBITDA(figures in $M),VZ,,48983.0,49111.0,44934.0,44145.0
