,ticker,2023,2024,2025,2026,2027
Revenue(In $M),VZ,"135,683","137,348","138,476","138,116","139,290"
Dividend,VZ,2.63,2.69,2.74,2.78,2.83
Dividend Yield (in %),VZ,7.14 %,7.29 %,7.44 %,7.53 %,7.66 %
EPS,VZ,4.69,4.70,4.78,5.02,5.16
P/E Ratio,VZ,7.99,7.97,7.85,7.47,7.26
EBIT(In $M),VZ,"30,355","30,797","31,356","32,057","32,698"
EBITDA(In $M),VZ,"47,535","48,150","48,648","49,592","50,343"
Net Profit(In $M),VZ,"19,664","19,647","20,032","21,749","22,405"
Net Profit Adjusted(In $M),VZ,"19,669","19,630","20,014","21,749","22,405"
Pre-Tax Profit(In $M),VZ,"25,787","25,816","26,432","28,715","29,578"
Net Profit (Adjusted)(In $M),VZ,"25,933","26,376","27,333",-,-
EPS (Non-GAAP) ex. SOE(In $),VZ,4.69,4.70,4.78,5.02,5.16
EPS (GAAP)(In $),VZ,4.63,4.65,4.84,5.09,5.23
Gross Income(In $M),VZ,"80,956","81,628","82,913","71,844","72,915"
Cash Flow from Investing(In $M),VZ,"-20,447","-17,671","-17,597","-17,284","-17,237"
Cash Flow from Operations(In $M),VZ,"35,757","35,907","36,726","37,932","38,673"
Cash Flow from Financing(In $M),VZ,"-12,693","-14,861","-17,625","-11,719","-11,960"
Cash Flow per Share(In $),VZ,8.52,8.59,8.86,-,-
Free Cash Flow(In $M),VZ,"16,830","18,846","19,635","21,004","21,435"
Free Cash Flow per Share(In $),VZ,3.87,4.52,4.81,5.02,5.08
Book Value per Share(In $),VZ,24.07,26.53,29.70,-,-
Net Debt(In $M),VZ,"146,204","140,649","135,618","131,946","126,265"
Research & Development Exp.(In $M),VZ,-,-,-,-,-
Capital Expenditure(In $M),VZ,"18,739","17,256","17,392","17,403","17,456"
"Selling, General & Admin. Exp.(In $M)",VZ,"28,749","28,765","26,921","28,288","28,241"
Shareholder’s Equity(In $M),VZ,"100,636","111,440","125,490","130,338","141,928"
Total Assets(In $M),VZ,"381,876","387,162","398,774","398,219","404,290"
