,ticker,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Total revenue(figures in $M),JWN,15530.0,15530.0,14789.0,10715.0,15524.0
Cost of revenue(figures in $M),JWN,10019.0,10019.0,9344.0,7600.0,9932.0
Gross profit(figures in $M),JWN,5511.0,5511.0,5445.0,3115.0,5592.0
Selling general and administrative(figures in $M),JWN,5046.0,5046.0,4953.0,4162.0,4808.0
Total operating expenses(figures in $M),JWN,5046.0,5046.0,4953.0,4162.0,4808.0
Operating income or loss(figures in $M),JWN,465.0,465.0,492.0,-1047.0,784.0
Interest expense(figures in $M),JWN,138.0,128.0,246.0,181.0,102.0
Income before tax(figures in $M),JWN,337.0,337.0,246.0,-1228.0,682.0
Income tax expense(figures in $M),JWN,92.0,92.0,68.0,-538.0,186.0
Income from continuing operations(figures in $M),JWN,245.0,245.0,178.0,-690.0,496.0
Net income(figures in $M),JWN,245.0,245.0,178.0,-690.0,496.0
Net income available to common shareholders(figures in $M),JWN,245.0,245.0,178.0,-690.0,496.0
Basic EPS(figures in $M),JWN,,1.53e-06,1.12e-06,-4.3899999999999995e-06,3.2000000000000003e-06
Diluted EPS(figures in $M),JWN,,1.51e-06,1.1e-06,-4.3899999999999995e-06,3.18e-06
Basic average shares(figures in $M),JWN,,160.1,159.0,157.2,155.2
Diluted average shares(figures in $M),JWN,,162.1,162.5,157.2,156.1
EBITDA(figures in $M),JWN,,1254.0,1282.0,-204.0,1638.0
