,ticker,2023,2024,2025,2026
Revenue(In $M),JWN,"15,508","14,737","14,893","14,977"
Dividend,JWN,0.79,0.69,0.71,0.61
Dividend Yield (in %),JWN,4.77 %,4.23 %,4.31 %,3.27 %
EPS,JWN,1.65,1.91,1.98,2.07
P/E Ratio,JWN,8.59,7.39,7.16,6.83
EBIT(In $M),JWN,505,537,544,543
EBITDA(In $M),JWN,"1,076","1,139","1,148","1,164"
Net Profit(In $M),JWN,273,301,309,313
Net Profit Adjusted(In $M),JWN,273,297,286,274
Pre-Tax Profit(In $M),JWN,373,430,441,423
Net Profit (Adjusted)(In $M),JWN,315,333,418,509
EPS (Non-GAAP) ex. SOE(In $),JWN,1.65,1.91,1.98,2.07
EPS (GAAP)(In $),JWN,1.67,1.23,2.03,1.88
Gross Income(In $M),JWN,-,"5,412","5,538","5,673"
Cash Flow from Investing(In $M),JWN,-444,-509,-554,-
Cash Flow from Operations(In $M),JWN,"1,027","1,001","1,147",-
Cash Flow from Financing(In $M),JWN,-100,-123,-126,-
Cash Flow per Share(In $),JWN,7.02,5.40,5.51,6.16
Free Cash Flow(In $M),JWN,527,458,460,-
Free Cash Flow per Share(In $),JWN,3.10,2.60,3.02,-
Book Value per Share(In $),JWN,4.07,5.43,6.21,6.00
Net Debt(In $M),JWN,"2,341","2,312","2,142","2,198"
Research & Development Exp.(In $M),JWN,-,-,-,-
Capital Expenditure(In $M),JWN,529,529,556,566
"Selling, General & Admin. Exp.(In $M)",JWN,"5,121","4,814","4,872","4,911"
Shareholder’s Equity(In $M),JWN,670,809,983,777
Total Assets(In $M),JWN,"9,087","8,969","9,129",-
