,2022,2021,2020,2019,2018,ticker
Current ratio,1.246,1.521,1.582,1.604,1.611,BMY
Quick ratio,1.059,1.360,1.275,1.261,1.394,BMY
Cash ratio,0.417,0.639,0.762,0.674,0.649,BMY
Days of sales outstanding,110.206,98.487,72.978,107.287,96.504,BMY
Days of inventory outstanding,84.220,76.929,64.301,193.977,66.622,BMY
Operating cycle,194.426,175.417,137.278,301.264,163.126,BMY
Days of payables outstanding,109.460,108.288,84.112,110.476,105.480,BMY
Cash conversion cycle,84.965,67.128,53.167,190.788,57.646,BMY
Gross profit margin,0.780,0.786,0.723,0.691,0.710,BMY
Operating profit margin,0.224,0.219,0.121,0.209,0.227,BMY
Pretax profit margin,0.167,0.175,-0.162,0.190,0.265,BMY
Net profit margin,0.137,0.151,-0.212,0.132,0.218,BMY
Effective tax rate,0.177,0.134,-0.309,0.305,0.171,BMY
Return on assets,0.065,0.064,-0.076,0.026,0.141,BMY
Return on equity,0.204,0.195,-0.238,0.067,0.351,BMY
Return on capital employed,0.138,0.116,0.052,0.049,0.210,BMY
Net income per EBT,0.820,0.864,1.309,0.691,0.824,BMY
Ebt per ebit,0.747,0.797,-1.340,0.911,1.166,BMY
Ebit per revenue,0.224,0.219,0.121,0.209,0.227,BMY
Debt ratio,0.679,0.671,0.680,0.602,0.596,BMY
Debt equity ratio,1.311,1.268,1.366,0.921,0.524,BMY
Long term debt to capitalization,0.539,0.530,0.565,0.461,0.287,BMY
Total debt to capitalization,0.567,0.559,0.577,0.480,0.344,BMY
Interest coverage,8.383,7.615,3.611,8.329,27.967,BMY
Cash flow to debt ratio,0.321,0.355,0.272,0.170,0.808,BMY
Company equity multiplier,3.117,3.041,3.133,2.518,2.493,BMY
Receivables turnover,3.312,3.706,5.002,3.402,3.782,BMY
Payables turnover,3.335,3.371,4.339,3.304,3.460,BMY
Inventory turnover,4.334,4.745,5.676,1.882,5.479,BMY
Fixed asset turnover,6.175,6.657,6.304,4.182,4.488,BMY
Asset turnover,0.477,0.424,0.359,0.201,0.645,BMY
Operating cash flow per share,6.069,7.528,6.223,4.731,3.637,BMY
Free cash flow per share,5.549,7.076,5.890,4.241,3.055,BMY
Cash per share,4.298,7.999,7.011,9.028,5.440,BMY
Payout ratio,0.732,0.629,-0.453,0.779,0.531,BMY
Operating cash flow sales ratio,0.283,0.349,0.330,0.309,0.263,BMY
Free cash flow operating cash flow ratio,0.914,0.940,0.946,0.896,0.840,BMY
Cash flow coverage ratios,0.321,0.355,0.272,0.170,0.808,BMY
Short term coverage ratios,2.970,3.167,5.612,2.319,3.488,BMY
Capital expenditure coverage ratio,-11.687,-16.657,-18.661,-9.650,-6.246,BMY
Dividend paid and capex coverage ratio,3.716,4.735,4.230,4.377,3.574,BMY
Dividend payout ratio,0.732,0.629,-0.453,0.779,0.531,BMY
Price book value ratio,4.987,3.734,3.703,2.121,6.050,BMY
Price to book ratio,4.987,3.734,3.703,2.121,6.050,BMY
Price to sales ratio,3.356,2.894,3.294,4.186,3.762,BMY
Price earnings ratio,24.484,19.194,-15.571,31.824,17.253,BMY
Price to free cash flows ratio,12.965,8.812,10.532,15.135,17.014,BMY
Price to operating cash flows ratio,11.856,8.283,9.968,13.567,14.290,BMY
Price cash flow ratio,11.856,8.283,9.968,13.567,14.290,BMY
Price earnings to growth ratio,-2.842,0.106,0.052,-0.955,0.043,BMY
Price sales ratio,3.356,2.894,3.294,4.186,3.762,BMY
Dividend yield,0.030,0.033,0.029,0.024,0.031,BMY
Enterprise value multiple,9.361,8.218,11.959,21.918,12.620,BMY
Price fair value,4.987,3.734,3.703,2.121,6.050,BMY
