,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BMY,"46,673","47,855","48,620","49,114","49,720"
Dividend,BMY,2.29,2.42,2.56,2.66,2.74
Dividend Yield (in %),BMY,3.46 %,3.68 %,3.94 %,4.02 %,4.27 %
EPS,BMY,8.03,8.15,8.37,8.46,8.83
P/E Ratio,BMY,8.32,8.20,7.98,7.90,7.57
EBIT(In $M),BMY,"19,423","19,721","19,830","20,227","20,973"
EBITDA(In $M),BMY,"20,665","20,705","20,806","21,665","22,108"
Net Profit(In $M),BMY,"16,848","16,823","16,914","16,906","17,385"
Net Profit Adjusted(In $M),BMY,"16,848","16,823","17,006","16,906","17,385"
Pre-Tax Profit(In $M),BMY,"20,320","20,189","20,134","20,573","20,932"
Net Profit (Adjusted)(In $M),BMY,"14,968","15,873","19,852","19,976","20,789"
EPS (Non-GAAP) ex. SOE(In $),BMY,8.03,8.15,8.37,8.46,8.83
EPS (GAAP)(In $),BMY,4.92,6.23,7.62,7.99,8.08
Gross Income(In $M),BMY,"37,251","37,767","37,925","37,472","37,529"
Cash Flow from Investing(In $M),BMY,-711,-706,-645,"-1,425","-1,420"
Cash Flow from Operations(In $M),BMY,"18,827","18,124","17,817","16,529","17,351"
Cash Flow from Financing(In $M),BMY,"-11,669","-11,406","-10,271","-9,048","-9,242"
Cash Flow per Share(In $),BMY,8.57,9.35,9.29,7.09,-
Free Cash Flow(In $M),BMY,"17,100","16,663","16,354","18,105","18,345"
Free Cash Flow per Share(In $),BMY,7.88,8.03,7.68,-,-
Book Value per Share(In $),BMY,18.86,19.99,22.59,26.35,-
Net Debt(In $M),BMY,"17,645","9,955","2,889","-5,029","-8,816"
Research & Development Exp.(In $M),BMY,"9,162","9,378","9,456","9,529","9,331"
Capital Expenditure(In $M),BMY,"1,119","1,120","1,122","1,247","1,242"
"Selling, General & Admin. Exp.(In $M)",BMY,"7,492","7,515","7,530","7,438","7,201"
Shareholder’s Equity(In $M),BMY,"33,720","36,100","42,864","51,469","59,997"
Total Assets(In $M),BMY,"40,800",-,"102,559","109,708","117,718"
