,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CI,"188,733","229,358","243,710","249,852",-
Dividend,CI,4.79,6.01,6.58,-,-
Dividend Yield (in %),CI,1.76 %,2.21 %,2.42 %,-,-
EPS,CI,24.74,28.28,31.81,34.70,37.80
P/E Ratio,CI,9.86,8.62,7.66,7.03,6.45
EBIT(In $M),CI,"8,967","9,890","10,777","10,988","11,417"
EBITDA(In $M),CI,"11,592","12,764","13,524","15,010","15,568"
Net Profit(In $M),CI,-,"8,081","8,591",-,-
Net Profit Adjusted(In $M),CI,-,"8,081","8,489","7,751","8,110"
Pre-Tax Profit(In $M),CI,"7,570",-,-,"9,812","10,266"
Net Profit (Adjusted)(In $M),CI,"7,785","8,880","9,383","9,811","9,044"
EPS (Non-GAAP) ex. SOE(In $),CI,24.74,28.28,31.81,34.70,37.80
EPS (GAAP)(In $),CI,19.47,23.65,27.06,29.52,32.43
Gross Income(In $M),CI,"18,986","20,345","21,503",-,-
Cash Flow from Investing(In $M),CI,"-1,561","-1,836","-2,061","-3,184","-3,500"
Cash Flow from Operations(In $M),CI,"8,718","11,022","11,126","12,105","12,462"
Cash Flow from Financing(In $M),CI,"-6,934","-7,383","-7,441","-6,599","-6,201"
Cash Flow per Share(In $),CI,25.44,34.79,41.40,-,-
Free Cash Flow(In $M),CI,"8,447","10,097","10,237","10,499","10,962"
Free Cash Flow per Share(In $),CI,24.60,-,-,-,-
Book Value per Share(In $),CI,154.14,178.56,203.25,-,-
Net Debt(In $M),CI,"24,931","19,378","16,182","15,531",-
Research & Development Exp.(In $M),CI,-,-,-,-,-
Capital Expenditure(In $M),CI,"1,289","1,550","1,627","2,152","1,500"
"Selling, General & Admin. Exp.(In $M)",CI,"13,305","14,806","15,409","17,083","17,154"
Shareholder’s Equity(In $M),CI,"45,231","46,428","47,888","47,569","50,827"
Total Assets(In $M),CI,"144,765","148,995","151,957","159,532","150,874"
