,2022,2021,2020,2019,2018,ticker
Current ratio,2.674,7.615,1.302,1.015,3.615,CI
Quick ratio,2.674,2.837,1.302,1.015,1.214,CI
Cash ratio,0.550,0.552,0.459,0.219,0.214,CI
Days of sales outstanding,44.374,42.088,39.531,37.549,120.091,CI
Days of inventory outstanding,54.139,0,0,0,0,CI
Days of payables outstanding,88.116,0,0,0,0,CI
Gross profit margin,0.822,1,1,1,0,CI
Operating profit margin,0.053,0.046,0.076,0.054,0,CI
Pretax profit margin,0.046,0.039,0.068,0.043,0.074,CI
Net profit margin,0.037,0.031,0.053,0.033,0.054,CI
Effective tax rate,0.192,0.202,0.219,0.221,0.261,CI
Return on assets,0.046,0.035,0.054,0.033,0.017,CI
Return on equity,0.149,0.114,0.168,0.113,0.064,CI
Return on capital employed,0.071,0.054,0.092,0.061,0,CI
Net income per EBT,0.798,0.791,0.778,0.777,0.736,CI
Ebt per ebit,0.879,0.854,0.885,0.798,0,CI
Ebit per revenue,0.053,0.046,0.076,0.054,0,CI
Debt ratio,0.688,0.695,0.676,0.709,0.732,CI
Debt equity ratio,0.693,0.715,0.654,0.825,1.035,CI
Long term debt to capitalization,0.385,0.398,0.370,0.413,0.491,CI
Total debt to capitalization,0.409,0.417,0.395,0.452,0.509,CI
Interest coverage,7.739,6.573,8.536,4.897,0,CI
Cash flow to debt ratio,0.278,0.214,0.314,0.254,0.089,CI
Company equity multiplier,3.208,3.288,3.089,3.436,3.735,CI
Receivables turnover,8.226,8.672,9.233,9.721,3.039,CI
Payables turnover,4.142,0,0,0,0,CI
Inventory turnover,6.742,0,0,0,0,CI
Fixed asset turnover,47.865,43.623,38.187,34.807,10.646,CI
Asset turnover,1.255,1.125,1.033,0.987,0.317,CI
Operating cash flow per share,25.612,21.278,28.358,25.231,15.285,CI
Free cash flow per share,21.781,17.863,25.360,22.438,13.144,CI
Cash per share,20.206,17.756,31.544,14.780,23.920,CI
Payout ratio,0.208,0.250,0,0,0,CI
Operating cash flow sales ratio,0.048,0.041,0.064,0.062,0.078,CI
Free cash flow operating cash flow ratio,0.850,0.840,0.894,0.889,0.860,CI
Cash flow coverage ratios,0.278,0.214,0.314,0.254,0.089,CI
Short term coverage ratios,2.892,2.826,3.068,1.720,1.276,CI
Capital expenditure coverage ratio,-6.684,-6.231,-9.461,-9.033,-7.140,CI
Dividend paid and capex coverage ratio,97.258,38.455,-9.461,-9.033,-7.140,CI
Dividend payout ratio,0.208,0.250,0,0,0,CI
Price book value ratio,2.496,1.647,1.510,1.696,1.142,CI
Price to book ratio,2.496,1.647,1.510,1.696,1.142,CI
Price to sales ratio,0.620,0.445,0.473,0.500,0.964,CI
Price earnings ratio,16.794,14.465,8.983,15.061,17.764,CI
Price to free cash flows ratio,15.213,12.855,8.209,9.113,14.449,CI
Price to operating cash flows ratio,12.937,10.792,7.341,8.105,12.426,CI
Price cash flow ratio,12.937,10.792,7.341,8.105,12.426,CI
Price earnings to growth ratio,0.491,-0.459,0.127,0.557,1.071,CI
Price sales ratio,0.620,0.445,0.473,0.500,0.964,CI
Dividend yield,0.012,0.017,0,0,0,CI
Enterprise value multiple,11.025,9.776,6.548,9.225,17.936,CI
Price fair value,2.496,1.647,1.510,1.696,1.142,CI
