,ttm,2023-01-31,2022-01-31,2021-01-31,2020-01-31,ticker
Net income(figures in $M),159.699,159.699,310.616,1.236,168.096,URBN
Depreciation & amortisation(figures in $M),102.339,102.339,105.672,103.771,112.256,URBN
Deferred income taxes(figures in $M),-2.577,-2.577,-2.695,-14.27,1.451,URBN
Stock-based compensation(figures in $M),29.449,29.449,25.741,20.3,21.109,URBN
Change in working capital(figures in $M),-347.443,-347.443,-273.048,-38.586,-249.836,URBN
Inventory(figures in $M),-22.286,-22.286,-181.898,22.381,-39.101,URBN
Other working capital(figures in $M),-56.784,-56.784,96.89,126.572,56.46,URBN
Other non-cash items(figures in $M),193.863,193.863,193.032,197.088,190.652,URBN
Net cash provided by operating activities(figures in $M),142.729,142.729,359.319,285.814,273.893,URBN
"Investments in property, plant and equipment(figures in $M)",-199.513,-199.513,-262.429,-159.242,-217.433,URBN
Purchases of investments(figures in $M),-109.148,-109.148,-505.936,-338.918,-397.22,URBN
Sales/maturities of investments(figures in $M),276.65,276.65,280.701,396.26,428.508,URBN
Net cash used for investing activities(figures in $M),-32.011,-32.011,-487.664,-101.9,-186.145,URBN
Debt repayment(figures in $M),0.0,0.0,0.0,-220.0,0.0,URBN
Common stock repurchased(figures in $M),-118.776,-118.776,-63.555,-10.912,-223.021,URBN
Net cash used provided by (used for) financing activities(figures in $M),-118.4,-118.4,-60.265,-10.417,-222.047,URBN
Net change in cash(figures in $M),-5.315,-5.315,-189.06,173.796,-136.421,URBN
Cash at beginning of period(figures in $M),206.575,206.575,395.635,221.839,358.26,URBN
Cash at end of period(figures in $M),201.26,201.26,206.575,395.635,221.839,URBN
Operating cash flow(figures in $M),142.729,142.729,359.319,285.814,273.893,URBN
Capital expenditure(figures in $M),-199.513,-199.513,-262.429,-159.242,-217.433,URBN
Free cash flow(figures in $M),-56.784,-56.784,96.89,126.572,56.46,URBN
