,ticker,2023,2024,2025,2026
Revenue(In $M),URBN,"4,776","4,992","5,197","5,254"
Dividend,URBN,0.00,0.00,0.00,0.00
Dividend Yield (in %),URBN,-,-,-,-
EPS,URBN,1.74,2.40,2.66,2.72
P/E Ratio,URBN,15.40,11.18,10.07,9.86
EBIT(In $M),URBN,238,301,334,328
EBITDA(In $M),URBN,357,423,461,476
Net Profit(In $M),URBN,164,223,246,243
Net Profit Adjusted(In $M),URBN,164,223,246,243
Pre-Tax Profit(In $M),URBN,227,299,331,328
Net Profit (Adjusted)(In $M),URBN,226,312,347,353
EPS (Non-GAAP) ex. SOE(In $),URBN,1.74,2.40,2.66,2.72
EPS (GAAP)(In $),URBN,1.73,2.33,2.54,2.62
Gross Income(In $M),URBN,"1,427","1,590","1,690","1,706"
Cash Flow from Investing(In $M),URBN,-225,-,-,-
Cash Flow from Operations(In $M),URBN,241,381,369,-
Cash Flow from Financing(In $M),URBN,-112,-,-,-
Cash Flow per Share(In $),URBN,2.86,4.02,4.10,4.54
Free Cash Flow(In $M),URBN,42,140,162,-
Free Cash Flow per Share(In $),URBN,0.15,0.99,1.12,-
Book Value per Share(In $),URBN,21.07,23.61,26.27,27.10
Net Debt(In $M),URBN,-438,-585,-705,-638
Research & Development Exp.(In $M),URBN,-,-,-,-
Capital Expenditure(In $M),URBN,228,231,229,244
"Selling, General & Admin. Exp.(In $M)",URBN,"1,171","1,258","1,324","1,357"
Shareholder’s Equity(In $M),URBN,"1,777","1,986","2,204","2,318"
Total Assets(In $M),URBN,"3,763","4,004","4,323",-
