,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BIIB,"9,612","9,363","9,578","10,133","10,760"
Dividend,BIIB,0.00,0.00,0.00,0.00,0.00
Dividend Yield (in %),BIIB,-,-,-,-,-
EPS,BIIB,15.45,16.31,17.47,19.93,22.25
P/E Ratio,BIIB,20.16,19.10,17.84,15.63,14.00
EBIT(In $M),BIIB,"2,683","2,864","3,046","3,500","3,841"
EBITDA(In $M),BIIB,"3,221","3,443","3,501","4,010","4,217"
Net Profit(In $M),BIIB,"2,215","2,385","2,515","2,859","3,125"
Net Profit Adjusted(In $M),BIIB,"2,221","2,369","2,471","2,785","3,060"
Pre-Tax Profit(In $M),BIIB,"2,624","2,829","2,977","3,362","3,674"
Net Profit (Adjusted)(In $M),BIIB,"2,467","2,941","3,292","4,693","4,693"
EPS (Non-GAAP) ex. SOE(In $),BIIB,15.87,-,-,-,23.94
EPS (GAAP)(In $),BIIB,13.35,16.18,17.12,18.59,20.30
Gross Income(In $M),BIIB,"7,296","7,559","8,064","8,663","9,100"
Cash Flow from Investing(In $M),BIIB,-312,-433,-494,-274,-276
Cash Flow from Operations(In $M),BIIB,"2,878","2,906","2,927","3,165","3,380"
Cash Flow from Financing(In $M),BIIB,-396,-942,"-2,033","-1,232","-1,232"
Cash Flow per Share(In $),BIIB,21.58,21.74,22.83,26.49,27.48
Free Cash Flow(In $M),BIIB,"2,489","2,547","2,662","2,842","3,001"
Free Cash Flow per Share(In $),BIIB,23.10,21.40,21.60,24.40,25.40
Book Value per Share(In $),BIIB,106.52,121.11,138.23,177.10,203.10
Net Debt(In $M),BIIB,"-1,177","-3,133","-5,180","-12,494","-16,184"
Research & Development Exp.(In $M),BIIB,"2,186","2,101","2,079","2,097","2,167"
Capital Expenditure(In $M),BIIB,276,368,285,274,276
"Selling, General & Admin. Exp.(In $M)",BIIB,"2,275","2,240","2,259","2,292","2,392"
Shareholder’s Equity(In $M),BIIB,"15,067","16,810","18,555","20,618","22,705"
Total Assets(In $M),BIIB,"26,411","28,001","28,354","29,588","31,659"
