,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PSX,169990.0,169990.0,111476.0,64129.0,107293.0
Cost of revenue(figures in $M),PSX,151561.0,151561.0,103707.0,59102.0,96870.0
Gross profit(figures in $M),PSX,18429.0,18429.0,7769.0,5027.0,10423.0
Selling general and administrative(figures in $M),PSX,2168.0,2168.0,1744.0,1544.0,1681.0
Total operating expenses(figures in $M),PSX,8809.0,8809.0,7301.0,6571.0,7164.0
Operating income or loss(figures in $M),PSX,9620.0,9620.0,468.0,-1544.0,3259.0
Interest expense(figures in $M),PSX,642.0,642.0,605.0,521.0,481.0
Total other income/expenses net(figures in $M),PSX,5579.0,5579.0,1877.0,-2899.0,1400.0
Income before tax(figures in $M),PSX,14639.0,14639.0,1740.0,-4964.0,4178.0
Income tax expense(figures in $M),PSX,3248.0,3248.0,146.0,-1250.0,801.0
Income from continuing operations(figures in $M),PSX,11391.0,11391.0,1594.0,-3714.0,3377.0
Net income(figures in $M),PSX,11024.0,11024.0,1317.0,-3975.0,3076.0
Net income available to common shareholders(figures in $M),PSX,11014.0,11014.0,1317.0,-3975.0,3076.0
Basic EPS(figures in $M),PSX,,,2.9700000000000004e-06,-9.06e-06,6.8e-06
Diluted EPS(figures in $M),PSX,,,2.9700000000000004e-06,-9.06e-06,6.7699999999999996e-06
Basic average shares(figures in $M),PSX,,,440.028,439.53,451.364
Diluted average shares(figures in $M),PSX,,,440.364,439.53,453.888
EBITDA(figures in $M),PSX,,16910.0,3950.0,-3048.0,6000.0
