,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PSX,"153,361","148,350","143,919",-,-
Dividend,PSX,4.20,4.37,4.56,-,-
Dividend Yield (in %),PSX,4.10 %,4.24 %,4.39 %,-,-
EPS,PSX,14.73,12.71,11.97,10.67,13.45
P/E Ratio,PSX,6.27,7.27,7.72,8.65,6.87
EBIT(In $M),PSX,"9,801","8,475","8,228",-,-
EBITDA(In $M),PSX,"11,885","10,255","9,862","9,250","9,554"
Net Profit(In $M),PSX,"6,878","5,783","5,411","5,022","5,213"
Net Profit Adjusted(In $M),PSX,"6,886","5,777","5,415","5,022","5,213"
Pre-Tax Profit(In $M),PSX,"9,237","7,628","6,911","6,722","6,970"
Net Profit (Adjusted)(In $M),PSX,"9,454","7,821","6,480",-,-
EPS (Non-GAAP) ex. SOE(In $),PSX,14.73,12.71,11.97,10.67,13.45
EPS (GAAP)(In $),PSX,14.70,13.13,12.55,12.70,13.45
Gross Income(In $M),PSX,"17,892","15,072","14,290",-,-
Cash Flow from Investing(In $M),PSX,"-4,189","-1,256",-752,"-2,000","-2,000"
Cash Flow from Operations(In $M),PSX,"9,056","8,126","7,300","6,626","7,084"
Cash Flow from Financing(In $M),PSX,"-3,459","-4,951","-3,119","-4,097","-3,573"
Cash Flow per Share(In $),PSX,19.02,17.74,17.37,16.93,18.48
Free Cash Flow(In $M),PSX,"7,244","6,252","5,889",-,-
Free Cash Flow per Share(In $),PSX,15.53,13.58,11.37,-,-
Book Value per Share(In $),PSX,72.68,80.49,86.81,-,-
Net Debt(In $M),PSX,"11,815","10,333","7,475",-,-
Research & Development Exp.(In $M),PSX,-,-,-,-,-
Capital Expenditure(In $M),PSX,"1,965","1,914","1,884","2,000","2,000"
"Selling, General & Admin. Exp.(In $M)",PSX,"1,452","1,465",-,-,-
Shareholder’s Equity(In $M),PSX,"33,283","34,877","37,315","34,600","37,000"
Total Assets(In $M),PSX,"78,158","79,608","79,961",-,-
