,2022,2021,2020,2019,2018,ticker
Current ratio,1.380,1.148,1.395,1.236,1.478,PSX
Quick ratio,1.077,0.829,0.949,0.869,1.029,PSX
Cash ratio,0.386,0.246,0.264,0.139,0.338,PSX
Days of sales outstanding,23.587,24.459,37.121,28.950,20.215,PSX
Days of inventory outstanding,7.889,11.945,24.042,14.228,13.025,PSX
Operating cycle,31.476,36.404,61.163,43.178,33.240,PSX
Days of payables outstanding,27.269,29.779,34.269,32.310,24.212,PSX
Cash conversion cycle,4.207,6.625,26.894,10.868,9.028,PSX
Gross profit margin,0.108,0.070,0.078,0.097,0.109,PSX
Operating profit margin,0.075,0.034,-0.004,0.051,0.047,PSX
Pretax profit margin,0.086,0.016,-0.077,0.039,0.067,PSX
Net profit margin,0.065,0.012,-0.058,0.029,0.050,PSX
Effective tax rate,0.222,0.084,0.252,0.192,0.211,PSX
Return on assets,0.144,0.024,-0.068,0.052,0.103,PSX
Return on equity,0.374,0.069,-0.196,0.123,0.227,PSX
Return on capital employed,0.210,0.089,-0.006,0.117,0.114,PSX
Net income per EBT,0.753,0.757,0.748,0.736,0.752,PSX
Ebt per ebit,1.149,0.455,17.296,0.759,1.434,PSX
Ebit per revenue,0.075,0.034,-0.004,0.051,0.047,PSX
Debt ratio,0.554,0.611,0.607,0.537,0.500,PSX
Debt equity ratio,0.583,0.754,0.837,0.472,0.453,PSX
Long term debt to capitalization,0.361,0.403,0.440,0.310,0.310,PSX
Total debt to capitalization,0.368,0.430,0.456,0.321,0.312,PSX
Interest coverage,19.852,6.324,-0.551,11.445,10.304,PSX
Cash flow to debt ratio,0.629,0.416,0.133,0.409,0.679,PSX
Company equity multiplier,2.592,2.901,2.882,2.357,2.203,PSX
Receivables turnover,15.475,14.923,9.833,12.608,18.056,PSX
Payables turnover,13.385,12.257,10.651,11.297,15.075,PSX
Inventory turnover,46.264,30.556,15.182,25.654,28.023,PSX
Fixed asset turnover,4.834,4.969,2.704,4.511,5.062,PSX
Asset turnover,2.224,2.005,1.172,1.827,2.053,PSX
Operating cash flow per share,22.933,13.674,4.803,10.652,16.089,PSX
Free cash flow per share,18.280,9.447,-1.841,2.071,10.482,PSX
Cash per share,13.008,7.152,5.720,3.576,6.414,PSX
Payout ratio,0.163,1.203,-0.424,0.510,0.257,PSX
Operating cash flow sales ratio,0.064,0.054,0.033,0.045,0.068,PSX
Free cash flow operating cash flow ratio,0.797,0.691,-0.383,0.194,0.652,PSX
Cash flow coverage ratios,0.629,0.416,0.133,0.409,0.679,PSX
Short term coverage ratios,20.440,4.041,2.139,8.790,113.030,PSX
Capital expenditure coverage ratio,-4.928,-3.235,-0.723,-1.241,-2.870,PSX
Dividend paid and capex coverage ratio,-26.965,-21.880,-1.570,-2.088,-6.295,PSX
Dividend payout ratio,0.163,1.203,-0.424,0.510,0.257,PSX
Price book value ratio,1.664,1.664,1.619,2.019,1.645,PSX
Price to book ratio,1.664,1.664,1.619,2.019,1.645,PSX
Price to sales ratio,0.289,0.286,0.479,0.469,0.364,PSX
Price earnings ratio,4.452,24.210,-8.277,16.348,7.248,PSX
Price to free cash flows ratio,5.694,7.670,-37.998,53.782,8.219,PSX
Price to operating cash flows ratio,4.538,5.299,14.562,10.459,5.355,PSX
Price cash flow ratio,4.538,5.299,14.562,10.459,5.355,PSX
Price earnings to growth ratio,0.006,0.179,0.037,-0.383,0.364,PSX
Price sales ratio,0.289,0.286,0.479,0.469,0.364,PSX
Dividend yield,0.037,0.050,0.051,0.031,0.035,PSX
Enterprise value multiple,4.183,7.952,39.819,8.828,5.394,PSX
Price fair value,1.664,1.664,1.619,2.019,1.645,PSX
