,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PFE,"68,101","68,325","69,867","72,153","71,844"
Dividend,PFE,1.66,1.71,1.74,1.86,1.93
Dividend Yield (in %),PFE,4.17 %,4.31 %,4.40 %,4.70 %,4.55 %
EPS,PFE,3.38,3.58,3.74,4.01,4.02
P/E Ratio,PFE,11.48,10.85,10.38,9.68,9.66
EBIT(In $M),PFE,"21,094","22,721","23,382","24,924","25,638"
EBITDA(In $M),PFE,"24,370","25,197","26,248","29,658","34,032"
Net Profit(In $M),PFE,"19,284","20,189","21,202","22,507","22,776"
Net Profit Adjusted(In $M),PFE,"19,284","20,189","21,202","22,507","22,776"
Pre-Tax Profit(In $M),PFE,"21,824","23,326","24,517","26,107","28,204"
Net Profit (Adjusted)(In $M),PFE,"20,046","22,271","23,120","19,381","18,751"
EPS (Non-GAAP) ex. SOE(In $),PFE,3.38,3.58,3.74,4.01,4.02
EPS (GAAP)(In $),PFE,2.91,3.14,3.40,3.53,3.58
Gross Income(In $M),PFE,"48,478","50,795","52,780","55,660","56,130"
Cash Flow from Investing(In $M),PFE,"-2,993","-3,427","-3,082","-3,305","-1,848"
Cash Flow from Operations(In $M),PFE,"21,530","21,828","22,580","23,708","26,377"
Cash Flow from Financing(In $M),PFE,"-11,899","-9,052","-11,531","-12,376","-12,455"
Cash Flow per Share(In $),PFE,3.29,3.61,3.53,2.41,-
Free Cash Flow(In $M),PFE,"16,373","18,179","19,429","30,792","34,335"
Free Cash Flow per Share(In $),PFE,-,2.46,2.50,-,-
Book Value per Share(In $),PFE,17.60,18.13,18.68,18.42,19.83
Net Debt(In $M),PFE,"12,325","7,494","2,137","8,002","7,121"
Research & Development Exp.(In $M),PFE,"12,886","13,042","13,334","13,472","13,287"
Capital Expenditure(In $M),PFE,"2,809","2,688","2,748","2,836","2,865"
"Selling, General & Admin. Exp.(In $M)",PFE,"14,395","14,398","14,707","14,925","14,897"
Shareholder’s Equity(In $M),PFE,"101,679","108,227","114,157","124,595","140,378"
Total Assets(In $M),PFE,"199,489","208,324","213,395","221,278","234,440"
