,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PFE,100330.0,100330.0,81288.0,41908.0,51750.0
Cost of revenue(figures in $M),PFE,34344.0,34344.0,30821.0,8692.0,10219.0
Gross profit(figures in $M),PFE,65986.0,65986.0,50467.0,33216.0,41531.0
Research development(figures in $M),PFE,11428.0,11428.0,13829.0,9405.0,8650.0
Selling general and administrative(figures in $M),PFE,13677.0,13677.0,12703.0,11615.0,14350.0
Total operating expenses(figures in $M),PFE,28714.0,28714.0,30232.0,24456.0,27610.0
Operating income or loss(figures in $M),PFE,37272.0,37272.0,20235.0,8760.0,13921.0
Interest expense(figures in $M),PFE,1238.0,1238.0,1291.0,1449.0,1574.0
Total other income/expenses net(figures in $M),PFE,-1556.0,-1555.0,5331.0,113.0,5108.0
Income before tax(figures in $M),PFE,34729.0,34729.0,24311.0,7497.0,17682.0
Income tax expense(figures in $M),PFE,3328.0,3328.0,1852.0,477.0,1384.0
Income from continuing operations(figures in $M),PFE,31401.0,31401.0,22459.0,7021.0,16298.0
Net income(figures in $M),PFE,31372.0,31372.0,21979.0,9616.0,16273.0
Net income available to common shareholders(figures in $M),PFE,31372.0,31372.0,21979.0,9616.0,16273.0
Basic EPS(figures in $M),PFE,,,3.92e-06,1.6499999999999999e-06,2.88e-06
Diluted EPS(figures in $M),PFE,,,3.85e-06,1.6299999999999999e-06,2.8199999999999997e-06
Basic average shares(figures in $M),PFE,,,5601.0,5555.0,5569.0
Diluted average shares(figures in $M),PFE,,,5708.0,5632.0,5675.0
EBITDA(figures in $M),PFE,,39576.0,29302.0,12382.0,23866.0
