,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),657.919,657.919,598.626,306.276,454.433,RHI
Depreciation & amortisation(figures in $M),49.065,49.065,54.451,63.5,65.625,RHI
Deferred income taxes(figures in $M),10.81,10.81,-21.133,-13.146,-9.473,RHI
Stock-based compensation(figures in $M),57.663,57.663,55.932,52.486,48.3,RHI
Change in working capital(figures in $M),-187.822,-187.822,-53.628,264.857,-22.41,RHI
Accounts receivable(figures in $M),-65.626,-65.626,-292.628,127.74,-48.461,RHI
Accounts payable(figures in $M),3.735,3.735,52.61,1.098,-9.204,RHI
Other working capital(figures in $M),622.63,622.63,566.525,563.151,460.165,RHI
Other non-cash items(figures in $M),-11.432,-11.432,-3.217,-14.779,-26.714,RHI
Net cash provided by operating activities(figures in $M),683.75,683.75,603.136,596.528,519.629,RHI
"Investments in property, plant and equipment(figures in $M)",-61.12,-61.12,-36.611,-33.377,-59.464,RHI
"Acquisitions, net(figures in $M)",-18.984,-18.984,0.0,-15.836,0.0,RHI
Purchases of investments(figures in $M),-67.388,-67.388,-85.432,0.0,0.0,RHI
Sales/maturities of investments(figures in $M),30.869,30.869,34.434,0.0,0.0,RHI
Other investing activities(figures in $M),0.0,0.0,0.0,58.674,-42.674,RHI
Net cash used for investing activities(figures in $M),-116.623,-116.623,-87.609,9.461,-102.138,RHI
Debt repayment(figures in $M),0.0,0.0,-0.239,-0.218,-0.2,RHI
Common stock issued(figures in $M),3.318,3.318,2.796,2.506,4.253,RHI
Common stock repurchased(figures in $M),-319.897,-319.897,-287.738,-159.172,-277.535,RHI
Dividends paid(figures in $M),-189.286,-189.286,-170.612,-155.935,-145.631,RHI
Net cash used provided by (used for) financing activities(figures in $M),-509.183,-509.183,-458.589,-315.325,-423.366,RHI
Net change in cash(figures in $M),39.625,39.625,44.575,303.948,-6.101,RHI
Cash at beginning of period(figures in $M),619.001,619.001,574.426,270.478,276.579,RHI
Cash at end of period(figures in $M),658.626,658.626,619.001,574.426,270.478,RHI
Operating cash flow(figures in $M),683.75,683.75,603.136,596.528,519.629,RHI
Capital expenditure(figures in $M),-61.12,-61.12,-36.611,-33.377,-59.464,RHI
Free cash flow(figures in $M),622.63,622.63,566.525,563.151,460.165,RHI
