,ticker,2023,2024,2025
Revenue(In $M),RHI,"6,700","6,984","7,653"
Dividend,RHI,1.83,1.73,1.72
Dividend Yield (in %),RHI,2.27 %,2.29 %,2.28 %
EPS,RHI,4.54,5.19,6.24
P/E Ratio,RHI,15.18,13.27,11.03
EBIT(In $M),RHI,656,746,904
EBITDA(In $M),RHI,726,812,972
Net Profit(In $M),RHI,483,548,657
Net Profit Adjusted(In $M),RHI,483,548,657
Pre-Tax Profit(In $M),RHI,670,759,910
Net Profit (Adjusted)(In $M),RHI,713,766,-
EPS (Non-GAAP) ex. SOE(In $),RHI,4.59,5.27,6.23
EPS (GAAP)(In $),RHI,4.54,5.19,6.24
Gross Income(In $M),RHI,"2,698","2,813","3,092"
Cash Flow from Investing(In $M),RHI,-103,-111,-
Cash Flow from Operations(In $M),RHI,698,623,930
Cash Flow from Financing(In $M),RHI,-332,-304,-
Cash Flow per Share(In $),RHI,5.88,5.31,7.28
Free Cash Flow(In $M),RHI,553,486,645
Free Cash Flow per Share(In $),RHI,4.61,5.17,6.06
Book Value per Share(In $),RHI,16.39,18.53,21.00
Net Debt(In $M),RHI,-663,-847,-903
Research & Development Exp.(In $M),RHI,-,-,-
Capital Expenditure(In $M),RHI,91,98,62
"Selling, General & Admin. Exp.(In $M)",RHI,"2,050","2,067","2,210"
Shareholder’s Equity(In $M),RHI,"1,746","1,988","2,094"
Total Assets(In $M),RHI,"3,158","3,472",-
