,ticker,2023,2024
Revenue(In $M),FHN,"3,511","3,551"
Dividend,FHN,0.61,0.63
Dividend Yield (in %),FHN,3.72 %,3.88 %
EPS,FHN,1.90,1.94
P/E Ratio,FHN,7.93,7.76
EBIT(In $M),FHN,"1,428","1,349"
EBITDA(In $M),FHN,-,-
Net Profit(In $M),FHN,"1,100","1,129"
Net Profit Adjusted(In $M),FHN,"1,096","1,105"
Pre-Tax Profit(In $M),FHN,"1,442","1,468"
Net Profit (Adjusted)(In $M),FHN,"1,442","1,468"
EPS (Non-GAAP) ex. SOE(In $),FHN,1.90,1.92
EPS (GAAP)(In $),FHN,1.90,1.94
Gross Income(In $M),FHN,-,-
Cash Flow from Investing(In $M),FHN,-,-
Cash Flow from Operations(In $M),FHN,-,-
Cash Flow from Financing(In $M),FHN,-,-
Cash Flow per Share(In $),FHN,-,-
Free Cash Flow(In $M),FHN,-,-
Free Cash Flow per Share(In $),FHN,-,-
Book Value per Share(In $),FHN,15.79,17.38
Net Debt(In $M),FHN,-,-
Research & Development Exp.(In $M),FHN,-,-
Capital Expenditure(In $M),FHN,-,-
"Selling, General & Admin. Exp.(In $M)",FHN,-,-
Shareholder’s Equity(In $M),FHN,"8,511","9,309"
Total Assets(In $M),FHN,"82,051","85,020"
