,ticker,2023,2024,2025,2026
Revenue(In $M),GPC,"23,397","24,421","26,078","26,716"
Dividend,GPC,3.79,4.02,4.26,4.63
Dividend Yield (in %),GPC,2.39 %,2.54 %,2.77 %,-
EPS,GPC,9.04,9.73,10.89,11.24
P/E Ratio,GPC,18.96,17.62,15.75,15.25
EBIT(In $M),GPC,"1,764","1,892","2,243","2,123"
EBITDA(In $M),GPC,"2,127","2,283","2,581","2,583"
Net Profit(In $M),GPC,"1,277","1,363","1,518","1,552"
Net Profit Adjusted(In $M),GPC,"1,278","1,363","1,502","1,552"
Pre-Tax Profit(In $M),GPC,"1,702","1,815","2,024","2,070"
Net Profit (Adjusted)(In $M),GPC,"1,722","1,890",-,-
EPS (Non-GAAP) ex. SOE(In $),GPC,9.04,9.73,10.89,11.24
EPS (GAAP)(In $),GPC,9.07,9.82,10.78,11.27
Gross Income(In $M),GPC,"8,277","8,658","9,219","9,478"
Cash Flow from Investing(In $M),GPC,-344,-394,-484,-480
Cash Flow from Operations(In $M),GPC,"1,400","1,660","1,487","1,716"
Cash Flow from Financing(In $M),GPC,-973,-997,"-1,008","-1,212"
Cash Flow per Share(In $),GPC,9.68,12.18,10.34,-
Free Cash Flow(In $M),GPC,"1,030","1,305","1,031","1,236"
Free Cash Flow per Share(In $),GPC,7.01,5.74,7.14,-
Book Value per Share(In $),GPC,30.43,34.50,40.11,45.45
Net Debt(In $M),GPC,"2,853","2,150","2,208",-
Research & Development Exp.(In $M),GPC,-,-,-,-
Capital Expenditure(In $M),GPC,390,375,456,480
"Selling, General & Admin. Exp.(In $M)",GPC,"6,198","6,459","7,105","7,268"
Shareholder’s Equity(In $M),GPC,"4,463","4,953","5,872","6,425"
Total Assets(In $M),GPC,"17,352","18,226","19,206","19,104"
