,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),GPC,22095.973,22095.973,18870.51,16537.433,17522.234
Cost of revenue(figures in $M),GPC,14355.869,14355.869,12236.374,10882.592,11662.551
Gross profit(figures in $M),GPC,7740.104,7740.104,6634.136,5654.841,5859.683
Selling general and administrative(figures in $M),GPC,5758.295,5758.295,5162.506,4386.739,4577.61
Total operating expenses(figures in $M),GPC,6125.905,6125.905,5471.216,4683.158,4848.749
Operating income or loss(figures in $M),GPC,1614.199,1614.199,1162.92,971.683,1010.934
Interest expense(figures in $M),GPC,73.887,73.887,62.15,93.713,95.583
Total other income/expenses net(figures in $M),GPC,32.29,32.29,99.576,-498.602,-56.068
Income before tax(figures in $M),GPC,1572.602,1572.602,1200.346,379.368,859.283
Income tax expense(figures in $M),GPC,389.901,389.901,301.556,215.973,212.808
Income from continuing operations(figures in $M),GPC,1182.701,1182.701,898.79,163.395,646.475
Net income(figures in $M),GPC,1182.701,1182.701,898.79,-29.102,621.085
Net income available to common shareholders(figures in $M),GPC,1182.701,1182.701,898.79,-29.102,621.085
Basic EPS(figures in $M),GPC,,8.36e-06,6.269999999999999e-06,-2.0000000000000002e-07,4.26e-06
Diluted EPS(figures in $M),GPC,,8.31e-06,6.2300000000000005e-06,-2.0000000000000002e-07,4.24e-06
Basic average shares(figures in $M),GPC,,141.468,143.435,144.474,145.736
Diluted average shares(figures in $M),GPC,,142.322,144.221,145.115,146.417
EBITDA(figures in $M),GPC,,1994.308,1553.467,745.923,1212.129
