,ticker,2023,2024,2025,2026
Revenue(In $M),VMC,"7,517","8,041","8,555","9,473"
Dividend,VMC,1.64,1.72,1.84,2.66
Dividend Yield (in %),VMC,0.98 %,1.04 %,1.09 %,1.59 %
EPS,VMC,5.89,7.15,8.57,8.86
P/E Ratio,VMC,32.40,26.67,22.26,21.53
EBIT(In $M),VMC,"1,196","1,401","1,599","1,713"
EBITDA(In $M),VMC,"1,808","2,026","2,242","2,405"
Net Profit(In $M),VMC,785,949,"1,116","1,184"
Net Profit Adjusted(In $M),VMC,785,947,"1,114","1,184"
Pre-Tax Profit(In $M),VMC,"1,000","1,210","1,423","1,548"
Net Profit (Adjusted)(In $M),VMC,"1,006","1,223","1,448","1,548"
EPS (Non-GAAP) ex. SOE(In $),VMC,5.89,7.15,8.57,8.86
EPS (GAAP)(In $),VMC,5.96,7.37,8.85,12.82
Gross Income(In $M),VMC,"1,729","1,967","2,150","2,327"
Cash Flow from Investing(In $M),VMC,-613,-644,-,-
Cash Flow from Operations(In $M),VMC,"1,430","1,590","1,964","2,176"
Cash Flow from Financing(In $M),VMC,-409,-385,-970,"-1,493"
Cash Flow per Share(In $),VMC,11.10,12.01,13.65,-
Free Cash Flow(In $M),VMC,742,837,"1,059","1,504"
Free Cash Flow per Share(In $),VMC,5.20,5.93,9.35,-
Book Value per Share(In $),VMC,56.58,62.14,70.08,87.75
Net Debt(In $M),VMC,"3,340","2,688","1,760",-
Research & Development Exp.(In $M),VMC,-,-,-,-
Capital Expenditure(In $M),VMC,625,651,665,672
"Selling, General & Admin. Exp.(In $M)",VMC,521,547,590,599
Shareholder’s Equity(In $M),VMC,"7,510","8,225","9,346","11,714"
Total Assets(In $M),VMC,"14,791","15,569","14,914","15,313"
