,2022,2021,2020,2019,2018,ticker
Current ratio,1.988,2.198,2.173,2.575,1.791,VMC
Quick ratio,1.261,1.389,1.673,1.572,0.964,VMC
Cash ratio,0.169,0.305,1.142,0.507,0.066,VMC
Days of sales outstanding,52.156,54.781,41.807,42.217,45.035,VMC
Days of inventory outstanding,36.725,45.533,45.795,45.541,47.748,VMC
Operating cycle,88.881,100.314,87.602,87.758,92.783,VMC
Days of payables outstanding,28.813,31.925,27.878,26.348,24.075,VMC
Cash conversion cycle,60.068,68.389,59.724,61.410,68.708,VMC
Gross profit margin,0.213,0.247,0.264,0.255,0.251,VMC
Operating profit margin,0.130,0.182,0.184,0.178,0.171,VMC
Pretax profit margin,0.108,0.157,0.153,0.154,0.142,VMC
Net profit margin,0.079,0.121,0.120,0.125,0.118,VMC
Effective tax rate,0.245,0.229,0.209,0.178,0.169,VMC
Return on assets,0.040,0.049,0.050,0.058,0.052,VMC
Return on equity,0.083,0.102,0.097,0.110,0.099,VMC
Return on capital employed,0.072,0.078,0.084,0.087,0.081,VMC
Net income per EBT,0.730,0.768,0.786,0.815,0.828,VMC
Ebt per ebit,0.828,0.864,0.830,0.864,0.834,VMC
Ebit per revenue,0.130,0.182,0.184,0.178,0.171,VMC
Debt ratio,0.512,0.520,0.484,0.472,0.471,VMC
Debt equity ratio,0.653,0.691,0.612,0.564,0.560,VMC
Long term debt to capitalization,0.390,0.408,0.345,0.361,0.348,VMC
Total debt to capitalization,0.395,0.409,0.380,0.361,0.359,VMC
Interest coverage,5.650,6.844,6.665,6.802,5.419,VMC
Cash flow to debt ratio,0.254,0.224,0.290,0.310,0.286,VMC
Company equity multiplier,2.054,2.091,1.939,1.894,1.890,VMC
Receivables turnover,6.998,6.663,8.731,8.646,8.105,VMC
Payables turnover,12.668,11.433,13.093,13.853,15.161,VMC
Inventory turnover,9.939,8.016,7.970,8.015,7.644,VMC
Fixed asset turnover,1.104,0.890,1.002,1.043,1.034,VMC
Asset turnover,0.514,0.406,0.416,0.463,0.446,VMC
Operating cash flow per share,8.633,7.620,8.072,7.439,6.290,VMC
Free cash flow per share,4.027,4.221,5.341,4.535,2.747,VMC
Cash per share,1.214,1.770,9.028,2.053,0.302,VMC
Payout ratio,0.369,0.293,0.308,0.265,0.287,VMC
Operating cash flow sales ratio,0.157,0.182,0.220,0.200,0.190,VMC
Free cash flow operating cash flow ratio,0.466,0.554,0.662,0.610,0.437,VMC
Cash flow coverage ratios,0.254,0.224,0.290,0.310,0.286,VMC
Short term coverage ratios,11.425,194.596,2.077,39.365 K,6.260,VMC
Capital expenditure coverage ratio,-1.874,-2.242,-2.955,-2.562,-1.775,VMC
Dividend paid and capex coverage ratio,-2.870,-3.970,-5.882,-4.471,-2.594,VMC
Dividend payout ratio,0.369,0.293,0.308,0.265,0.287,VMC
Price book value ratio,3.361,4.212,3.263,3.389,2.514,VMC
Price to book ratio,3.361,4.212,3.263,3.389,2.514,VMC
Price to sales ratio,3.184,4.965,4.049,3.865,2.984,VMC
Price earnings ratio,40.461,41.095,33.647,30.842,25.359,VMC
Price to free cash flows ratio,43.483,49.173,27.770,31.748,35.966,VMC
Price to operating cash flows ratio,20.284,27.242,18.373,19.357,15.707,VMC
Price cash flow ratio,20.284,27.242,18.373,19.357,15.707,VMC
Price earnings to growth ratio,-2.838,2.832,-6.043,1.562,-1.799,VMC
Price sales ratio,3.184,4.965,4.049,3.865,2.984,VMC
Dividend yield,0.009,0.007,0.009,0.009,0.011,VMC
Enterprise value multiple,17.270,23.347,17.432,17.737,21.012,VMC
Price fair value,3.361,4.212,3.263,3.389,2.514,VMC
