,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),BAC,94950.0,94950.0,89113.0,85528.0,91244.0
Interest expense(figures in $M),BAC,20103.0,20103.0,4738.0,8225.0,22345.0
Income before tax(figures in $M),BAC,30969.0,30969.0,33976.0,18995.0,32754.0
Income tax expense(figures in $M),BAC,3441.0,3441.0,1998.0,1101.0,5324.0
Income from continuing operations(figures in $M),BAC,27528.0,27528.0,31978.0,17894.0,27430.0
Net income(figures in $M),BAC,27528.0,27528.0,31978.0,17894.0,27430.0
Net income available to common shareholders(figures in $M),BAC,26015.0,26015.0,30557.0,16473.0,25998.0
Basic EPS(figures in $M),BAC,,3.2099999999999998e-06,3.6000000000000003e-06,1.8799999999999998e-06,2.77e-06
Diluted EPS(figures in $M),BAC,,3.19e-06,3.5699999999999997e-06,1.87e-06,2.75e-06
Basic average shares(figures in $M),BAC,,8113.7,8493.3,8753.2,9390.5
Diluted average shares(figures in $M),BAC,,8167.5,8558.4,8796.9,9442.9
