,ticker,2023,2024,2025,2026,2027
Revenue(In $M),DGX,"9,049","9,267","9,599","10,063",-
Dividend,DGX,2.75,2.88,2.90,-,-
Dividend Yield (in %),DGX,2.03 %,2.11 %,2.13 %,-,-
EPS,DGX,8.73,9.14,9.95,10.86,11.45
P/E Ratio,DGX,15.66,14.96,13.75,12.60,11.95
EBIT(In $M),DGX,"1,457","1,499","1,591","1,672","1,747"
EBITDA(In $M),DGX,"1,832","1,900","2,011","2,190",-
Net Profit(In $M),DGX,950,990,"1,061","1,199",-
Net Profit Adjusted(In $M),DGX,985,"1,027","1,110","1,199",-
Pre-Tax Profit(In $M),DGX,"1,313","1,370","1,511","1,590",-
Net Profit (Adjusted)(In $M),DGX,"1,322","1,380","1,576","1,618",-
EPS (Non-GAAP) ex. SOE(In $),DGX,8.73,9.14,9.95,10.86,11.45
EPS (GAAP)(In $),DGX,7.78,8.27,9.10,11.35,-
Gross Income(In $M),DGX,"3,147","3,233","3,375","3,472",-
Cash Flow from Investing(In $M),DGX,-531,-407,-418,-,-
Cash Flow from Operations(In $M),DGX,"1,342","1,418","1,604",-,-
Cash Flow from Financing(In $M),DGX,-653,-718,-862,-,-
Cash Flow per Share(In $),DGX,12.06,13.14,13.96,-,-
Free Cash Flow(In $M),DGX,956,"1,025","1,211",-,-
Free Cash Flow per Share(In $),DGX,8.12,9.36,10.17,-,-
Book Value per Share(In $),DGX,55.85,59.72,64.38,-,-
Net Debt(In $M),DGX,"3,570","3,302","3,035",-,-
Research & Development Exp.(In $M),DGX,-,-,-,-,-
Capital Expenditure(In $M),DGX,401,393,397,431,442
"Selling, General & Admin. Exp.(In $M)",DGX,"1,615","1,628","1,731","1,694",-
Shareholder’s Equity(In $M),DGX,"6,386","6,850","7,434",-,-
Total Assets(In $M),DGX,"13,104","13,546","13,880",-,-
