,ticker,2023,2024,2025
Revenue(In $M),EXPD,"11,420","10,901","11,709"
Dividend,EXPD,1.32,1.37,1.38
Dividend Yield (in %),EXPD,1.19 %,1.23 %,1.38 %
EPS,EXPD,5.51,5.21,5.67
P/E Ratio,EXPD,21.38,22.63,20.79
EBIT(In $M),EXPD,"1,095","1,004","1,115"
EBITDA(In $M),EXPD,"1,148","1,094","1,180"
Net Profit(In $M),EXPD,871,792,844
Net Profit Adjusted(In $M),EXPD,871,792,844
Pre-Tax Profit(In $M),EXPD,"1,141","1,045","1,141"
Net Profit (Adjusted)(In $M),EXPD,"1,258","1,195",-
EPS (Non-GAAP) ex. SOE(In $),EXPD,5.51,5.21,5.67
EPS (GAAP)(In $),EXPD,5.41,5.10,5.62
Gross Income(In $M),EXPD,"1,532","1,530",-
Cash Flow from Investing(In $M),EXPD,-78,78,-70
Cash Flow from Operations(In $M),EXPD,934,"1,123","1,252"
Cash Flow from Financing(In $M),EXPD,-809,-622,-899
Cash Flow per Share(In $),EXPD,5.88,5.52,6.10
Free Cash Flow(In $M),EXPD,935,960,"1,048"
Free Cash Flow per Share(In $),EXPD,5.38,6.61,8.69
Book Value per Share(In $),EXPD,21.60,23.35,24.56
Net Debt(In $M),EXPD,"-2,071","-2,595","-2,647"
Research & Development Exp.(In $M),EXPD,-,-,-
Capital Expenditure(In $M),EXPD,69,68,68
"Selling, General & Admin. Exp.(In $M)",EXPD,-,-,-
Shareholder’s Equity(In $M),EXPD,"3,265","3,420","3,573"
Total Assets(In $M),EXPD,"5,621","5,346","6,536"
