,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),BSX,12682.0,12682.0,11888.0,9913.0,10735.0
Cost of revenue(figures in $M),BSX,4003.0,4003.0,3760.0,3510.0,3181.0
Gross profit(figures in $M),BSX,8679.0,8679.0,8128.0,6403.0,7554.0
Research development(figures in $M),BSX,1323.0,1323.0,1204.0,1143.0,1174.0
Selling general and administrative(figures in $M),BSX,4520.0,4520.0,4359.0,3787.0,3941.0
Total operating expenses(figures in $M),BSX,6646.0,6646.0,6304.0,5719.0,5814.0
Operating income or loss(figures in $M),BSX,2033.0,2033.0,1824.0,684.0,1740.0
Interest expense(figures in $M),BSX,470.0,470.0,341.0,361.0,473.0
Total other income/expenses net(figures in $M),BSX,-434.0,-424.0,-408.0,-459.0,-581.0
Income before tax(figures in $M),BSX,1141.0,1141.0,1076.0,-138.0,687.0
Income tax expense(figures in $M),BSX,443.0,443.0,36.0,2.0,-4013.0
Income from continuing operations(figures in $M),BSX,698.0,698.0,1041.0,-140.0,4700.0
Net income(figures in $M),BSX,698.0,698.0,1041.0,-140.0,4700.0
Net income available to common shareholders(figures in $M),BSX,642.0,642.0,985.0,-173.0,4700.0
Basic EPS(figures in $M),BSX,,,6.9e-07,-8e-08,3.38e-06
Diluted EPS(figures in $M),BSX,,,6.9e-07,-8e-08,3.33e-06
Basic average shares(figures in $M),BSX,,,1422.3,1416.7,1391.5
Diluted average shares(figures in $M),BSX,,,1433.8,1416.7,1410.6
EBITDA(figures in $M),BSX,,2414.0,2158.0,1012.0,1859.0
