,ticker,2023,2024,2025,2026,2027
Revenue(In $M),BSX,"13,923","15,040","16,223","17,557","18,795"
Dividend,BSX,0.00,0.00,0.00,0.00,-
Dividend Yield (in %),BSX,-,-,-,-,-
EPS,BSX,1.95,2.21,2.47,2.72,2.96
P/E Ratio,BSX,26.64,23.52,21.04,19.10,17.59
EBIT(In $M),BSX,"3,652","4,049","4,446","4,843","5,308"
EBITDA(In $M),BSX,"3,995","4,455","5,075","5,467","5,652"
Net Profit(In $M),BSX,"2,860","3,258","3,644","4,057","4,531"
Net Profit Adjusted(In $M),BSX,"2,860","3,258","3,644","4,057","4,531"
Pre-Tax Profit(In $M),BSX,"3,313","3,745","4,139","4,551","5,012"
Net Profit (Adjusted)(In $M),BSX,"2,008","2,800","3,177","3,423","3,915"
EPS (Non-GAAP) ex. SOE(In $),BSX,1.79,2.16,2.64,2.96,3.52
EPS (GAAP)(In $),BSX,1.03,1.44,1.87,2.06,2.11
Gross Income(In $M),BSX,"9,799","10,649","11,513","12,468","13,414"
Cash Flow from Investing(In $M),BSX,-891,-932,-960,"-1,036","-1,076"
Cash Flow from Operations(In $M),BSX,"2,696","3,195","3,528","4,168","4,564"
Cash Flow from Financing(In $M),BSX,-698,-882,"-1,464",-255,-169
Cash Flow per Share(In $),BSX,2.31,2.71,3.06,-,-
Free Cash Flow(In $M),BSX,"2,068","2,376","3,037","4,212","3,896"
Free Cash Flow per Share(In $),BSX,1.58,1.64,1.84,1.59,-
Book Value per Share(In $),BSX,13.28,14.68,16.36,-,-
Net Debt(In $M),BSX,"5,524","3,150",392,"-6,838",-
Research & Development Exp.(In $M),BSX,"1,358","1,474","1,593","1,744","1,904"
Capital Expenditure(In $M),BSX,650,694,722,877,"1,076"
"Selling, General & Admin. Exp.(In $M)",BSX,"4,781","5,107","5,465","5,767","6,094"
Shareholder’s Equity(In $M),BSX,"19,644","21,939","24,592","31,906","36,479"
Total Assets(In $M),BSX,"33,918","35,791","37,409","43,002","47,470"
