,ticker,2023,2024,2025
Revenue(In $M),NTAP,"6,329","6,235","6,577"
Dividend,NTAP,2.00,2.07,2.25
Dividend Yield (in %),NTAP,3.27 %,3.38 %,3.68 %
EPS,NTAP,5.40,5.59,6.24
P/E Ratio,NTAP,11.58,11.20,10.02
EBIT(In $M),NTAP,"1,488","1,515","1,669"
EBITDA(In $M),NTAP,"1,690","1,693","1,875"
Net Profit(In $M),NTAP,"1,189","1,202","1,303"
Net Profit Adjusted(In $M),NTAP,"1,189","1,202","1,303"
Pre-Tax Profit(In $M),NTAP,"1,505","1,525","1,575"
Net Profit (Adjusted)(In $M),NTAP,964,"1,079","1,168"
EPS (Non-GAAP) ex. SOE(In $),NTAP,6.27,6.96,-
EPS (GAAP)(In $),NTAP,5.54,4.24,5.04
Gross Income(In $M),NTAP,"4,223","4,258","4,532"
Cash Flow from Investing(In $M),NTAP,"-1,164",-219,-235
Cash Flow from Operations(In $M),NTAP,"1,313","1,248","1,441"
Cash Flow from Financing(In $M),NTAP,"-1,387",-876,-863
Cash Flow per Share(In $),NTAP,6.33,6.67,7.56
Free Cash Flow(In $M),NTAP,"1,094","1,170","1,436"
Free Cash Flow per Share(In $),NTAP,5.39,5.30,-
Book Value per Share(In $),NTAP,5.17,6.24,8.98
Net Debt(In $M),NTAP,-532,-636,-765
Research & Development Exp.(In $M),NTAP,836,-,899
Capital Expenditure(In $M),NTAP,263,231,244
"Selling, General & Admin. Exp.(In $M)",NTAP,"1,899","1,854","1,957"
Shareholder’s Equity(In $M),NTAP,"1,203","1,463","1,718"
Total Assets(In $M),NTAP,"9,806","10,223","10,505"
