,ticker,ttm,2022-04-30,2021-04-30,2020-04-30
Total revenue(figures in $M),NTAP,6461.0,6318.0,5744.0,5412.0
Cost of revenue(figures in $M),NTAP,2238.0,2098.0,1929.0,1789.0
Gross profit(figures in $M),NTAP,4223.0,4220.0,3815.0,3623.0
Research development(figures in $M),NTAP,948.0,881.0,881.0,847.0
Selling general and administrative(figures in $M),NTAP,2137.0,2136.0,2001.0,1848.0
Total operating expenses(figures in $M),NTAP,3085.0,3017.0,2882.0,2695.0
Operating income or loss(figures in $M),NTAP,1138.0,1203.0,933.0,928.0
Interest expense(figures in $M),NTAP,69.0,73.0,74.0,55.0
Total other income/expenses net(figures in $M),NTAP,-89.0,-108.0,29.0,16.0
Income before tax(figures in $M),NTAP,1024.0,1095.0,962.0,944.0
Income tax expense(figures in $M),NTAP,-264.0,158.0,232.0,125.0
Income from continuing operations(figures in $M),NTAP,1288.0,937.0,730.0,819.0
Net income(figures in $M),NTAP,1288.0,937.0,730.0,819.0
Net income available to common shareholders(figures in $M),NTAP,1288.0,937.0,730.0,819.0
Basic EPS(figures in $M),NTAP,,4.2000000000000004e-06,3.29e-06,3.5600000000000002e-06
Diluted EPS(figures in $M),NTAP,,4.09e-06,3.23e-06,3.52e-06
Basic average shares(figures in $M),NTAP,,223.0,222.0,230.0
Diluted average shares(figures in $M),NTAP,,229.0,226.0,233.0
EBITDA(figures in $M),NTAP,,1397.0,1140.0,1121.0
