,ticker,2023,2024,2025
Revenue(In $M),TMK,"495,350","567,848","677,587"
Dividend,TMK,5.12,4.72,2.82
Dividend Yield (in %),TMK,5.66 %,5.21 %,3.11 %
EPS,TMK,20.48,18.96,11.27
P/E Ratio,TMK,4.76,5.14,8.65
EBIT(In $M),TMK,"53,507","54,551","49,337"
EBITDA(In $M),TMK,"71,705","79,268","75,671"
Net Profit(In $M),TMK,"21,156","19,588","11,644"
Net Profit Adjusted(In $M),TMK,"21,156","9,878","11,644"
Pre-Tax Profit(In $M),TMK,"31,408","24,381","14,309"
Net Profit (Adjusted)(In $M),TMK,-,-,-
EPS (Non-GAAP) ex. SOE(In $),TMK,-,-,-
EPS (GAAP)(In $),TMK,20.48,-,-
Gross Income(In $M),TMK,"117,374","111,917","118,244"
Cash Flow from Investing(In $M),TMK,"-17,228","-17,136","-14,610"
Cash Flow from Operations(In $M),TMK,"64,328","69,346","72,475"
Cash Flow from Financing(In $M),TMK,"-49,940","-52,994","-56,145"
Cash Flow per Share(In $),TMK,80.67,67.19,67.38
Free Cash Flow(In $M),TMK,"44,874","53,245","52,678"
Free Cash Flow per Share(In $),TMK,47.79,-,-
Book Value per Share(In $),TMK,73.68,172.45,192.26
Net Debt(In $M),TMK,"252,207","373,159","372,614"
Research & Development Exp.(In $M),TMK,-,-,-
Capital Expenditure(In $M),TMK,"18,270","16,173","16,940"
"Selling, General & Admin. Exp.(In $M)",TMK,"62,759","47,219","51,474"
Shareholder’s Equity(In $M),TMK,"72,899","101,450","143,610"
Total Assets(In $M),TMK,"656,159","893,519","672,077"
