,ticker,2023,2024,2025
Revenue(In $M),ADM,"100,845","101,840","100,105"
Dividend,ADM,1.76,1.85,1.97
Dividend Yield (in %),ADM,2.20 %,2.31 %,2.55 %
EPS,ADM,6.90,6.76,6.87
P/E Ratio,ADM,10.76,10.97,10.80
EBIT(In $M),ADM,"4,391","4,261","4,168"
EBITDA(In $M),ADM,"5,973","5,777","5,679"
Net Profit(In $M),ADM,"3,770","3,634","3,485"
Net Profit Adjusted(In $M),ADM,"3,776","3,641","3,547"
Pre-Tax Profit(In $M),ADM,"4,696","4,543","4,323"
Net Profit (Adjusted)(In $M),ADM,"4,602","4,356","4,389"
EPS (Non-GAAP) ex. SOE(In $),ADM,6.90,6.76,6.87
EPS (GAAP)(In $),ADM,-,6.86,7.25
Gross Income(In $M),ADM,"7,641","7,573","7,280"
Cash Flow from Investing(In $M),ADM,"-1,356","-1,390",-
Cash Flow from Operations(In $M),ADM,"2,953","3,646","4,246"
Cash Flow from Financing(In $M),ADM,"-1,018","-2,330",-
Cash Flow per Share(In $),ADM,5.67,6.91,9.56
Free Cash Flow(In $M),ADM,"2,168","2,195","2,937"
Free Cash Flow per Share(In $),ADM,2.16,4.92,-
Book Value per Share(In $),ADM,44.49,46.59,48.98
Net Debt(In $M),ADM,"4,395","3,546","2,854"
Research & Development Exp.(In $M),ADM,-,-,-
Capital Expenditure(In $M),ADM,"1,277","1,283","1,255"
"Selling, General & Admin. Exp.(In $M)",ADM,"3,099","3,192","2,750"
Shareholder’s Equity(In $M),ADM,"29,345","30,951","29,054"
Total Assets(In $M),ADM,"59,728","60,578",-
