,ticker,2023,2024,2025,2026,2027
Revenue(In $M),WMB,"11,263","10,865","12,386",-,-
Dividend,WMB,1.79,1.87,1.94,2.07,2.18
Dividend Yield (in %),WMB,6.13 %,6.40 %,6.68 %,7.08 %,7.46 %
EPS,WMB,1.79,1.79,2.05,-,-
P/E Ratio,WMB,16.70,16.72,14.57,-,-
EBIT(In $M),WMB,"3,688","3,713","4,038",-,-
EBITDA(In $M),WMB,"6,568","6,726","7,096","7,340","7,510"
Net Profit(In $M),WMB,"2,195","2,159","2,352",-,-
Net Profit Adjusted(In $M),WMB,"2,153","2,205","2,439",-,-
Pre-Tax Profit(In $M),WMB,"2,955","2,943","3,258",-,-
Net Profit (Adjusted)(In $M),WMB,"2,846","2,961","3,331",-,-
EPS (Non-GAAP) ex. SOE(In $),WMB,1.79,1.79,2.05,-,-
EPS (GAAP)(In $),WMB,1.82,1.79,2.04,-,-
Gross Income(In $M),WMB,"7,304","7,382","7,827",-,-
Cash Flow from Investing(In $M),WMB,"-2,146",-623,244,-,-
Cash Flow from Operations(In $M),WMB,"5,119","5,171","5,542",-,-
Cash Flow from Financing(In $M),WMB,"-1,073","-3,129","-3,894",-,-
Cash Flow per Share(In $),WMB,3.96,3.91,4.24,-,-
Free Cash Flow(In $M),WMB,"2,210","3,038","3,762","3,861","4,097"
Free Cash Flow per Share(In $),WMB,2.17,2.65,3.03,2.82,2.89
Book Value per Share(In $),WMB,9.67,9.55,9.38,-,-
Net Debt(In $M),WMB,"23,141","23,446","22,736",-,-
Research & Development Exp.(In $M),WMB,-,-,-,-,-
Capital Expenditure(In $M),WMB,"2,546","2,218","1,993","1,408","1,307"
"Selling, General & Admin. Exp.(In $M)",WMB,670,472,783,-,-
Shareholder’s Equity(In $M),WMB,"12,535","12,936","13,306","17,053",-
Total Assets(In $M),WMB,"50,081","50,369","49,860",-,-
