,2022,2021,2020,2019,2018,ticker
Current ratio,0.776,0.915,0.616,0.398,0.808,WMB
Quick ratio,0.588,0.736,0.492,0.324,0.641,WMB
Cash ratio,0.031,0.338,0.061,0.073,0.093,WMB
Days of sales outstanding,90.642,67.937,47.239,44.329,41.685,WMB
Days of inventory outstanding,16.037,18.639,10.652,8.694,7.809,WMB
Operating cycle,106.680,86.576,57.891,53.023,49.495,WMB
Days of payables outstanding,116.622,85.865,37.753,38.392,39.768,WMB
Cash conversion cycle,-9.942,0.711,20.138,14.631,9.727,WMB
Gross profit margin,0.336,0.302,0.396,0.360,0.300,WMB
Operating profit margin,0.275,0.248,0.285,0.341,0.088,WMB
Pretax profit margin,0.232,0.195,0.036,0.130,0.038,WMB
Net profit margin,0.187,0.143,0.027,0.104,-0.018,WMB
Effective tax rate,0.167,0.247,0.285,0.315,0.417,WMB
Return on assets,0.042,0.032,0.005,0.018,-0.003,WMB
Return on equity,0.178,0.133,0.018,0.064,-0.011,WMB
Return on capital employed,0.069,0.062,0.053,0.066,0.018,WMB
Net income per EBT,0.806,0.732,0.762,0.799,-0.468,WMB
Ebt per ebit,0.842,0.788,0.126,0.381,0.431,WMB
Ebit per revenue,0.275,0.248,0.285,0.341,0.088,WMB
Debt ratio,0.710,0.704,0.670,0.645,0.647,WMB
Debt equity ratio,1.994,2.073,1.899,1.668,1.529,WMB
Long term debt to capitalization,0.656,0.655,0.646,0.601,0.604,WMB
Total debt to capitalization,0.666,0.675,0.655,0.625,0.605,WMB
Interest coverage,2.631,2.232,1.879,2.357,0.691,WMB
Cash flow to debt ratio,0.213,0.167,0.156,0.166,0.147,WMB
Company equity multiplier,4.217,4.168,3.753,3.445,3.090,WMB
Receivables turnover,4.027,5.373,7.727,8.234,8.756,WMB
Payables turnover,3.130,4.251,9.668,9.507,9.178,WMB
Inventory turnover,22.759,19.583,34.265,41.984,46.738,WMB
Fixed asset turnover,0.355,0.363,0.267,0.281,0.316,WMB
Asset turnover,0.226,0.223,0.175,0.178,0.192,WMB
Operating cash flow per share,4.013,3.246,2.881,3.047,2.720,WMB
Free cash flow per share,2.139,2.220,1.830,1.274,0.025,WMB
Cash per share,0.125,1.382,0.117,0.238,0.139,WMB
Payout ratio,1.011,1.313,9.199,2.167,-8.942,WMB
Operating cash flow sales ratio,0.446,0.371,0.453,0.450,0.379,WMB
Free cash flow operating cash flow ratio,0.533,0.684,0.635,0.418,0.009,WMB
Cash flow coverage ratios,0.213,0.167,0.156,0.166,0.147,WMB
Short term coverage ratios,5.004,1.948,3.915,1.726,70.064,WMB
Capital expenditure coverage ratio,-2.141,-3.164,-2.742,-1.718,-1.009,WMB
Dividend paid and capex coverage ratio,-23.061,5.295,5.249,-12.029,-1.754,WMB
Dividend payout ratio,1.011,1.313,9.199,2.167,-8.942,WMB
Price book value ratio,3.490,2.770,2.068,2.151,1.821,WMB
Price to book ratio,3.490,2.770,2.068,2.151,1.821,WMB
Price to sales ratio,3.656,2.978,3.152,3.506,3.073,WMB
Price earnings ratio,19.563,20.860,115.324,33.823,-172.212,WMB
Price to free cash flows ratio,15.381,11.729,10.956,18.620,889.765,WMB
Price to operating cash flows ratio,8.199,8.021,6.960,7.785,8.106,WMB
Price cash flow ratio,8.199,8.021,6.960,7.785,8.106,WMB
Price earnings to growth ratio,0.569,0.033,-1.523,0.053,1.642,WMB
Price sales ratio,3.656,2.978,3.152,3.506,3.073,WMB
Dividend yield,0.052,0.063,0.080,0.064,0.052,WMB
Enterprise value multiple,11.059,10.540,10.167,11.255,17.354,WMB
Price fair value,3.490,2.770,2.068,2.151,1.821,WMB
