,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),NFLX,31615.55,31615.55,29697.844,24996.056,20156.447
Cost of revenue(figures in $M),NFLX,19168.285,19168.285,17332.683,15276.319,12440.213
Gross profit(figures in $M),NFLX,12447.265,12447.265,12365.161,9719.737,7716.234
Research development(figures in $M),NFLX,2711.041,2711.041,2273.885,1829.6,1545.149
Selling general and administrative(figures in $M),NFLX,4103.393,4103.393,3896.767,3304.848,3566.831
Total operating expenses(figures in $M),NFLX,6814.434,6814.434,6170.652,5134.448,5111.98
Operating income or loss(figures in $M),NFLX,5632.831,5632.831,6194.509,4585.289,2604.254
Interest expense(figures in $M),NFLX,706.212,706.212,765.62,1385.94,626.023
Income before tax(figures in $M),NFLX,5263.929,5263.929,5840.103,3199.349,2062.231
Income tax expense(figures in $M),NFLX,772.005,772.005,723.875,437.954,195.315
Income from continuing operations(figures in $M),NFLX,4491.924,4491.924,5116.228,2761.395,1866.916
Net income(figures in $M),NFLX,4491.924,4491.924,5116.228,2761.395,1866.916
Net income available to common shareholders(figures in $M),NFLX,4491.924,4491.924,5116.228,2761.395,1866.916
Basic EPS(figures in $M),NFLX,,,1.1550000000000001e-05,6.26e-06,4.26e-06
Diluted EPS(figures in $M),NFLX,,,1.124e-05,6.08e-06,4.13e-06
Basic average shares(figures in $M),NFLX,,,443.155,440.922,437.799
Diluted average shares(figures in $M),NFLX,,,455.372,454.208,451.765
EBITDA(figures in $M),NFLX,,20332.955,19044.502,15507.911,12008.08
