,ticker,2023,2024,2025,2026,2027
Revenue(In $M),NFLX,"33,926","38,068","42,268","45,462","48,754"
Dividend,NFLX,0.00,0.00,0.00,0.00,-
Dividend Yield (in %),NFLX,-,-,-,-,-
EPS,NFLX,11.19,14.31,18.17,20.57,23.92
P/E Ratio,NFLX,28.56,22.31,17.58,15.53,13.36
EBIT(In $M),NFLX,"6,433","8,154","10,129","11,152","12,816"
EBITDA(In $M),NFLX,"7,182","8,931","10,965","12,200","14,121"
Net Profit(In $M),NFLX,"5,049","6,436","8,016","8,853","10,276"
Net Profit Adjusted(In $M),NFLX,"5,194","6,706","8,122","9,516","12,406"
Pre-Tax Profit(In $M),NFLX,"5,839","7,602","9,647","10,788","12,568"
Net Profit (Adjusted)(In $M),NFLX,"5,847","7,639","9,736","10,788","12,568"
EPS (Non-GAAP) ex. SOE(In $),NFLX,11.43,14.67,18.95,21.89,25.83
EPS (GAAP)(In $),NFLX,11.19,14.31,18.17,20.57,23.92
Gross Income(In $M),NFLX,"13,581","15,851","18,375","20,556","23,014"
Cash Flow from Investing(In $M),NFLX,8,-276,-153,-702,-773
Cash Flow from Operations(In $M),NFLX,"4,257","6,080","7,979","10,768","12,450"
Cash Flow from Financing(In $M),NFLX,"-2,134","-2,717","-3,960","-4,961","-5,477"
Cash Flow per Share(In $),NFLX,9.85,13.29,17.35,20.99,-
Free Cash Flow(In $M),NFLX,"3,780","5,440","7,230","8,292","8,874"
Free Cash Flow per Share(In $),NFLX,8.11,13.18,17.95,19.04,22.55
Book Value per Share(In $),NFLX,53.17,62.67,72.97,85.95,116.45
Net Debt(In $M),NFLX,"7,430","4,085","1,223","-3,787","-8,328"
Research & Development Exp.(In $M),NFLX,"2,822","3,097","3,328","3,588","3,831"
Capital Expenditure(In $M),NFLX,423,493,504,579,700
"Selling, General & Admin. Exp.(In $M)",NFLX,"4,423","4,799","5,230",-,-
Shareholder’s Equity(In $M),NFLX,"24,264","28,380","33,268","32,805","38,133"
Total Assets(In $M),NFLX,"53,007","58,347","66,572","82,197","93,395"
