,ticker,2023,2024,2025,2026,2027
Revenue(In $M),AEE,"8,163","8,458","8,506","9,052","9,361"
Dividend,AEE,2.52,2.70,2.88,3.06,3.25
Dividend Yield (in %),AEE,3.02 %,3.22 %,3.45 %,3.65 %,3.87 %
EPS,AEE,4.36,4.68,5.01,5.34,5.64
P/E Ratio,AEE,20.55,19.14,17.87,16.76,15.88
EBIT(In $M),AEE,"1,726","1,895","2,106","2,144","2,310"
EBITDA(In $M),AEE,"3,079","3,357","3,679","4,075","4,404"
Net Profit(In $M),AEE,"1,118","1,222","1,327","1,453","1,552"
Net Profit Adjusted(In $M),AEE,"1,151","1,260","1,366","1,385","1,467"
Pre-Tax Profit(In $M),AEE,"1,347","1,473","1,621","1,574","1,668"
Net Profit (Adjusted)(In $M),AEE,"1,546","1,694","1,858",-,-
EPS (Non-GAAP) ex. SOE(In $),AEE,4.36,4.68,5.01,5.34,5.64
EPS (GAAP)(In $),AEE,4.37,4.70,5.03,5.40,5.70
Gross Income(In $M),AEE,"5,695","5,973","6,274","7,219","7,733"
Cash Flow from Investing(In $M),AEE,"-3,530","-4,111","-4,111","-4,093","-4,092"
Cash Flow from Operations(In $M),AEE,"2,570","2,745","2,928","2,875","1,486"
Cash Flow from Financing(In $M),AEE,791,733,"1,058",693,491
Cash Flow per Share(In $),AEE,10.10,10.52,11.02,-,-
Free Cash Flow(In $M),AEE,-361,-724,-459,-,-
Free Cash Flow per Share(In $),AEE,-3.11,-,-,-,-
Book Value per Share(In $),AEE,42.89,46.02,49.22,-,-
Net Debt(In $M),AEE,"15,985","17,391","18,510","18,790","19,950"
Research & Development Exp.(In $M),AEE,-,-,-,-,-
Capital Expenditure(In $M),AEE,"3,521","3,908","3,922","4,168","3,955"
"Selling, General & Admin. Exp.(In $M)",AEE,"2,421","2,439","2,462",-,-
Shareholder’s Equity(In $M),AEE,"11,385","12,577","13,803","15,734","18,628"
Total Assets(In $M),AEE,"40,092","42,894","45,626","48,136","52,190"
